"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,2115,2224,167,2145,2368,166,2445,2587,167
"Belgium",NA,NA,NA,1766,1915,150,1948,2162,144,2361,2566,141
"Bulgaria",271,110,178,398,152,173,530,235,166,634,303,178
"Croatia",NA,NA,NA,NA,NA,NA,1179,831,166,NA,NA,NA
"Cyprus",NA,NA,NA,1240,1876,172,2393,2125,165,1973,1777,165
"Czech Rep.",752,389,172,926,563,175,1022,740,176,1050,669,176
"Denmark",NA,NA,NA,2501,3430,157,2837,3875,155,2963,4123,154
"Estonia",NA,NA,NA,534,342,160,749,514,153,818,619,167
"Finland",NA,NA,NA,1669,1946,161,1973,2357,161,2013,2462,160
"France",NA,NA,NA,1566,1736,140,1666,1873,147,1696,1827,143
"Germany",NA,NA,NA,2331,2396,154,2248,2348,150,2697,2737,157
"Greece",NA,NA,NA,2082,1787,179,2112,1944,182,1982,1693,176
"Hungary",557,299,186,711,425,178,765,457,165,812,467,169
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",2065,2435,159,2707,3273,155,2979,3294,157,2643,3232,117
"Italy",NA,NA,NA,2344,2398,164,1826,1868,154,1289,1326,146
"Latvia",NA,NA,NA,465,267,167,389,354,144,602,422,161
"Lithuania",357,176,161,484,262,156,NA,NA,NA,627,393,161
"Luxembourg",NA,NA,NA,2582,2898,153,NA,NA,NA,4220,5082,174
"Macedonia",NA,NA,NA,NA,NA,NA,985,381,169,836,389,184
"Malta",NA,NA,NA,770,1237,187,2033,1486,211,1452,1175,144
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",2069,2110,141,1877,2000,142,1954,2177,135,2064,2267,137
"Norway",NA,NA,NA,2231,2958,144,2438,3601,151,2686,3934,152
"Poland",739,437,186,837,486,167,923,551,160,1142,637,176
"Portugal",NA,NA,NA,1363,1107,164,1118,927,163,1135,924,168
"Romania",330,136,185,474,237,179,481,238,168,528,280,182
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,763,385,186
"Slovakia",532,231,174,521,355,166,843,564,160,882,598,169
"Slovenia",1301,893,168,1291,963,176,1449,1219,162,1373,1121,174
"Spain",1556,1326,166,1780,1608,162,1857,1747,159,1883,1738,165
"Sweden",NA,NA,NA,1714,2065,161,1878,2324,163,2408,3023,173
"Switzerland",NA,NA,NA,NA,NA,NA,3026,4340,164,3061,4557,141
"Turkey",NA,NA,NA,1102,634,196,NA,NA,NA,969,580,190
"United Kingdom",2255,2590,172,2691,3037,171,2490,2631,167,2180,2649,170
