"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1460,1535,135,1447,1597,132,1661,1758,133
"Belgium",NA,NA,NA,1687,1829,121,1867,2073,118,1884,2048,115
"Bulgaria",211,85,177,325,124,173,452,201,163,534,256,178
"Croatia",NA,NA,NA,NA,NA,NA,1421,1001,168,NA,NA,NA
"Cyprus",NA,NA,NA,869,1315,173,1737,1543,169,1564,1409,162
"Czech Rep.",651,337,167,733,446,165,889,644,171,916,584,169
"Denmark",NA,NA,NA,1883,2582,135,2290,3127,138,2243,3122,134
"Estonia",NA,NA,NA,457,292,173,600,413,164,707,535,177
"Finland",NA,NA,NA,1624,1895,161,1829,2185,160,1940,2373,159
"France",NA,NA,NA,1490,1651,137,1547,1739,137,1673,1802,139
"Germany",NA,NA,NA,1630,1676,129,2195,2293,136,1540,1563,118
"Greece",NA,NA,NA,1869,1605,178,1544,1421,171,1538,1314,179
"Hungary",518,277,184,719,429,176,758,453,166,803,462,170
"Iceland",NA,NA,NA,1325,1987,149,1293,1381,148,1419,1674,141
"Ireland",1449,1708,126,1599,1933,117,1886,2085,124,2011,2459,126
"Italy",NA,NA,NA,1430,1463,139,1594,1631,150,1638,1686,155
"Latvia",NA,NA,NA,428,246,171,367,333,158,571,400,167
"Lithuania",337,166,178,455,246,167,506,299,159,613,384,179
"Luxembourg",NA,NA,NA,2525,2834,NA,2359,2853,125,2407,2898,134
"Macedonia",NA,NA,NA,NA,NA,NA,999,387,168,821,382,183
"Malta",NA,NA,NA,646,1039,171,1522,1113,156,1585,1282,162
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,950,527,177
"Netherlands",1210,1234,93,1079,1150,92,1275,1421,92,1459,1602,98
"Norway",NA,NA,NA,1762,2336,118,1834,2709,110,2054,3008,112
"Poland",601,355,182,705,410,168,810,484,161,1019,569,175
"Portugal",NA,NA,NA,801,651,165,865,717,163,873,711,169
"Romania",286,118,187,453,226,179,461,228,169,551,293,184
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,720,363,185
"Slovakia",478,208,176,432,295,164,629,421,152,768,521,166
"Slovenia",1167,801,153,1179,880,175,1324,1114,155,1300,1062,173
"Spain",1367,1165,165,1426,1288,153,1526,1436,150,1494,1379,149
"Sweden",NA,NA,NA,1503,1811,135,1683,2082,140,1978,2484,144
"Switzerland",NA,NA,NA,NA,NA,NA,2184,3132,119,2285,3401,125
"Turkey",NA,NA,NA,907,522,194,657,406,155,676,404,162
"United Kingdom",1127,1294,116,1273,1437,117,1366,1444,128,1283,1559,130
