"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","From 50 to 59 years","Total",NA,NA,NA,2007,2110,166,1994,2201,162,2070,2190,161
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","From 50 to 59 years","Total",NA,NA,NA,1389,1505,125,1920,2131,145,2271,2469,143
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","From 50 to 59 years","Total",273,111,181,402,153,175,506,225,163,598,286,178
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","From 50 to 59 years","Total",NA,NA,NA,NA,NA,NA,1241,874,168,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","From 50 to 59 years","Total",NA,NA,NA,909,1376,165,2264,2010,174,1741,1568,168
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","From 50 to 59 years","Total",736,380,174,893,543,174,954,691,178,1006,641,176
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","From 50 to 59 years","Total",NA,NA,NA,2452,3363,159,2769,3782,155,2787,3878,153
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","From 50 to 59 years","Total",NA,NA,NA,607,388,169,725,498,158,807,610,170
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","From 50 to 59 years","Total",NA,NA,NA,1625,1895,163,1833,2190,162,1887,2308,161
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","From 50 to 59 years","Total",NA,NA,NA,1611,1785,142,1593,1790,145,1671,1800,142
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","From 50 to 59 years","Total",NA,NA,NA,1997,2053,151,1759,1837,142,1834,1861,134
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","From 50 to 59 years","Total",NA,NA,NA,2078,1784,179,2032,1870,177,1894,1618,174
