"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2398,2393,179,2364,2486,174,2395,2644,167,2892,3060,177
"Belgium",NA,NA,NA,2163,2345,163,2415,2681,159,2615,2842,167
"Bulgaria",375,152,184,518,198,176,717,318,167,830,397,183
"Croatia",NA,NA,NA,NA,NA,NA,1099,774,170,NA,NA,NA
"Cyprus",1685,1544,174,1319,1997,170,2450,2176,174,1917,1727,167
"Czech Rep.",783,405,171,1004,611,174,1062,768,173,1259,802,174
"Denmark",2384,3070,144,2463,3378,139,2779,3795,136,2931,4078,140
"Estonia",668,350,185,884,565,176,1030,708,170,1280,968,183
"Finland",1852,2196,167,2197,2562,168,2385,2849,166,2574,3148,167
"France",1840,1846,146,1920,2127,152,1808,2032,151,2120,2283,151
"Germany",2508,2595,166,2680,2755,163,2612,2728,158,3072,3118,166
"Greece",1889,1577,185,2395,2056,184,2528,2327,172,2295,1961,166
"Hungary",749,401,185,844,504,183,960,573,165,1129,650,174
"Iceland",2065,2704,187,NA,NA,NA,NA,NA,188,2653,3131,191
"Ireland",2753,3246,172,3328,4023,177,3491,3860,161,3086,3773,167
"Italy",1762,1655,179,1886,1930,174,1999,2046,169,2315,2383,186
"Latvia",518,261,178,671,386,172,518,471,153,920,645,167
"Lithuania",609,300,178,845,457,172,NA,NA,NA,909,570,176
"Luxembourg",2565,2625,182,2464,2766,173,NA,NA,170,2738,3297,188
"Macedonia",NA,NA,NA,NA,NA,NA,867,336,169,808,376,181
"Malta",1660,1199,192,783,1258,189,1892,1383,189,1859,1503,186
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1488,825,182
"Netherlands",2366,2413,162,2200,2345,158,2684,2991,165,2747,3017,167
"Norway",2409,3519,165,2894,3837,167,3012,4449,163,3325,4870,164
"Poland",898,531,189,1021,593,178,1117,667,171,1466,819,187
"Portugal",984,753,171,1041,846,174,1078,894,174,1071,872,174
"Romania",437,180,191,602,300,181,821,407,171,882,469,187
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1057,533,187
"Slovakia",708,308,173,673,459,174,1000,669,166,1201,814,176
"Slovenia",1157,795,168,1252,935,182,1325,1114,165,1574,1285,180
"Spain",1849,1576,184,1943,1755,173,2050,1928,173,2163,1997,171
"Sweden",1868,2338,173,2196,2646,173,2405,2975,174,2820,3541,174
"Switzerland",NA,NA,NA,NA,NA,NA,3076,4411,174,3687,5489,175
"Turkey",NA,NA,NA,1161,668,199,NA,NA,NA,929,556,199
"United Kingdom",2593,2977,184,2889,3260,184,2676,2828,183,2650,3220,181
