"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",3542,3535,162,3616,3802,161,3813,4208,160,4151,4393,166
"Belgium",3561,3566,173,3632,3937,164,3855,4280,157,4452,4839,165
"Bulgaria",511,207,183,737,281,175,973,432,165,1196,573,180
"Croatia",NA,NA,NA,NA,NA,NA,1895,1334,169,NA,NA,NA
"Cyprus",2590,2374,167,1612,2440,169,2929,2602,169,2584,2327,166
"Czech Rep.",1217,629,167,1612,980,168,1680,1216,169,1966,1252,169
"Denmark",3169,4081,157,3502,4803,157,4121,5628,157,4407,6132,158
"Estonia",956,501,180,1206,770,172,1459,1002,165,1799,1360,181
"Finland",2305,2733,163,2897,3378,163,3349,4001,163,3680,4501,166
"France",3152,3163,146,3436,3808,162,3248,3650,156,3730,4017,160
"Germany",3436,3555,154,3735,3840,150,3972,4149,151,4329,4393,158
"Greece",3225,2692,188,3043,2612,178,3276,3015,171,2975,2542,169
"Hungary",1382,741,183,1491,890,180,1666,995,166,2104,1210,170
"Iceland",2325,3044,163,3071,4604,169,3069,3278,172,3704,4372,172
"Ireland",3148,3712,155,4039,4883,169,4190,4632,162,4293,5249,168
"Italy",3011,2828,178,3038,3108,172,3099,3171,167,3378,3476,179
"Latvia",789,398,177,953,548,169,755,686,151,1226,860,164
"Lithuania",955,470,176,1210,654,169,1160,686,161,1367,858,167
"Luxembourg",4141,4238,169,4498,5049,168,4392,5312,162,4392,5289,177
"Macedonia",NA,NA,NA,NA,NA,NA,1409,546,169,1322,615,182
"Malta",2104,1519,185,1103,1772,177,2496,1825,189,2312,1870,178
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1760,976,183
"Netherlands",3044,3105,154,3092,3295,153,3456,3850,156,3789,4161,160
"Norway",3199,4673,159,3921,5198,159,4418,6525,159,5023,7357,160
"Poland",1513,895,186,1759,1022,170,1846,1103,165,2356,1316,182
"Portugal",2029,1554,165,2452,1992,169,2297,1904,170,2232,1818,171
"Romania",771,317,187,1077,538,176,1402,695,167,1450,771,183
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1435,724,185
"Slovakia",1085,472,172,1121,764,166,1545,1034,160,1819,1234,172
"Slovenia",2122,1457,169,2326,1736,178,2379,2001,167,2751,2246,178
"Spain",3257,2776,181,3119,2816,170,2967,2791,170,3174,2930,170
"Sweden",2564,3209,168,3002,3618,169,3291,4071,171,3780,4746,172
"Switzerland",NA,NA,NA,NA,NA,NA,4027,5775,166,4779,7115,166
"Turkey",NA,NA,NA,2352,1353,194,2387,1475,194,2314,1384,194
"United Kingdom",3607,4142,163,4012,4528,163,3679,3888,166,3613,4389,167
