"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,2576,2709,150,2425,2676,150,2633,2786,151
"Belgium",NA,NA,NA,2368,2567,148,2449,2719,140,2807,3051,153
"Bulgaria",330,134,180,477,182,173,657,291,161,728,348,177
"Croatia",NA,NA,NA,NA,NA,NA,1418,998,168,NA,NA,NA
"Cyprus",NA,NA,NA,973,1472,169,2269,2015,167,1848,1665,163
"Czech Rep.",740,383,166,928,564,166,1117,809,166,1265,806,165
"Denmark",NA,NA,NA,2306,3163,147,2736,3737,149,2840,3952,148
"Estonia",NA,NA,NA,651,416,167,808,555,159,1033,781,176
"Finland",NA,NA,NA,1847,2154,158,2016,2409,156,2133,2608,158
"France",NA,NA,NA,1754,1944,144,1732,1946,142,1988,2141,142
"Germany",NA,NA,NA,2631,2705,141,2114,2208,133,2651,2691,144
"Greece",NA,NA,NA,2317,1989,174,2314,2130,168,2141,1829,168
"Hungary",723,387,180,849,507,177,1059,632,163,1113,640,164
"Iceland",NA,NA,NA,1703,2554,161,1758,1878,161,1964,2317,156
"Ireland",1941,2289,140,2229,2694,146,2561,2831,142,2434,2976,137
"Italy",NA,NA,NA,2504,2562,162,2335,2390,158,2362,2431,166
"Latvia",NA,NA,NA,619,356,168,536,487,153,802,562,159
"Lithuania",499,246,170,647,350,168,653,386,155,832,522,169
"Luxembourg",NA,NA,NA,2929,3287,156,3230,3907,154,3127,3766,165
"Macedonia",NA,NA,NA,NA,NA,NA,1307,506,168,980,456,183
"Malta",NA,NA,NA,658,1057,160,1662,1215,167,1659,1342,162
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1328,737,181
"Netherlands",2033,2073,132,1765,1881,127,1915,2133,125,2098,2304,128
"Norway",NA,NA,NA,2359,3128,148,2470,3648,146,2803,4105,147
"Poland",952,563,184,1008,586,169,1214,726,163,1451,810,179
"Portugal",NA,NA,NA,1488,1209,163,1654,1371,163,1650,1344,166
"Romania",463,191,183,642,320,175,820,406,166,841,447,181
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1120,565,183
"Slovakia",514,223,165,606,413,164,915,612,155,1064,721,166
"Slovenia",1418,974,167,1494,1115,176,1617,1360,166,1758,1435,175
"Spain",2251,1919,177,2120,1915,164,2244,2111,164,2213,2043,164
"Sweden",1623,2031,160,1814,2186,157,1995,2468,160,2430,3052,164
"Switzerland",NA,NA,NA,NA,NA,NA,3218,4616,152,2824,4204,135
"Turkey",NA,NA,NA,1627,936,194,1922,1188,188,1350,807,196
"United Kingdom",1647,1891,137,1761,1987,137,1682,1778,137,1625,1974,138
