"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,2197,2310,183,2246,2479,176,2535,2683,181
"Belgium",NA,NA,NA,2130,2309,159,2303,2556,153,2624,2852,160
"Bulgaria",371,150,183,500,190,176,653,290,166,705,337,182
"Croatia",NA,NA,NA,NA,NA,NA,1324,933,171,NA,NA,NA
"Cyprus",NA,NA,NA,1129,1709,181,2005,1781,180,1711,1541,175
"Czech Rep.",813,420,173,981,596,173,1045,757,173,1172,746,173
"Denmark",NA,NA,NA,2329,3194,144,2737,3737,140,2704,3763,141
"Estonia",NA,NA,NA,830,530,178,975,670,171,1217,920,185
"Finland",NA,NA,NA,2121,2473,168,2402,2870,166,2582,3157,167
"France",NA,NA,NA,1872,2075,153,1763,1981,152,2005,2159,151
"Germany",NA,NA,NA,2329,2394,162,2295,2397,161,2449,2485,162
"Greece",NA,NA,NA,2259,1939,183,2241,2063,176,1964,1678,172
"Hungary",776,416,187,888,530,184,1036,619,169,1089,627,176
"Iceland",NA,NA,NA,2269,3402,210,2027,2165,201,2428,2865,201
"Ireland",2016,2377,174,2467,2982,177,2761,3053,166,2637,3225,162
"Italy",NA,NA,NA,2112,2161,178,2149,2199,171,2131,2194,183
"Latvia",NA,NA,NA,646,371,175,573,521,158,878,616,160
"Lithuania",577,284,179,750,405,172,809,478,165,930,583,182
"Luxembourg",NA,NA,NA,2567,2882,176,2494,3016,176,2735,3294,186
"Macedonia",NA,NA,NA,NA,NA,NA,938,363,168,798,371,181
"Malta",NA,NA,NA,713,1145,178,1787,1307,187,1814,1468,187
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1281,711,183
"Netherlands",2240,2285,163,2051,2185,160,2250,2507,164,2187,2401,151
"Norway",NA,NA,NA,2628,3484,160,2732,4034,159,3085,4519,157
"Poland",952,563,187,1076,625,179,1202,718,173,1468,820,187
"Portugal",NA,NA,NA,1123,913,175,1086,900,174,1084,883,174
"Romania",445,183,191,576,288,180,797,395,173,850,452,187
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1102,556,186
"Slovakia",730,318,172,675,460,170,956,640,165,1104,749,173
"Slovenia",1125,773,164,1211,904,180,1305,1098,166,1502,1227,177
"Spain",1921,1638,183,1927,1740,170,1932,1818,170,2115,1952,170
"Sweden",1688,2113,167,2036,2454,168,2237,2767,168,2600,3264,171
"Switzerland",NA,NA,NA,NA,NA,NA,3032,4348,171,3406,5071,172
"Turkey",NA,NA,NA,985,567,201,NA,NA,NA,852,509,194
"United Kingdom",2131,2447,187,2304,2600,184,2154,2276,184,2191,2662,188
