"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","From 50 to 59 years","Total",NA,NA,NA,4058,4267,144,3787,4180,141,4184,4427,149
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","From 50 to 59 years","Total",NA,NA,NA,3346,3628,117,3933,4367,135,4552,4947,141
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","From 50 to 59 years","Total",540,219,181,784,299,172,963,427,162,1112,532,177
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","From 50 to 59 years","Total",NA,NA,NA,NA,NA,NA,2292,1614,163,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","From 50 to 59 years","Total",NA,NA,NA,2448,3706,157,4440,3944,148,3732,3362,149
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","From 50 to 59 years","Total",1254,648,165,1625,988,166,1760,1274,169,1908,1215,167
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","From 50 to 59 years","Total",NA,NA,NA,3426,4699,152,3622,4947,150,3744,5209,148
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","From 50 to 59 years","Total",NA,NA,NA,1089,695,154,1316,904,144,1440,1089,153
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","From 50 to 59 years","Total",NA,NA,NA,3071,3582,160,3324,3971,159,3576,4373,161
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","From 50 to 59 years","Total",NA,NA,NA,3499,3878,153,3426,3850,148,3700,3984,149
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","From 50 to 59 years","Total",NA,NA,NA,4089,4204,154,4033,4213,151,4632,4701,154
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","From 50 to 59 years","Total",NA,NA,NA,3198,2745,155,2836,2610,145,2562,2189,145
"Hungary","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","From 50 to 59 years","Total",1224,656,187,1560,931,177,1699,1015,166,1897,1092,171
"Iceland","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","From 50 to 59 years","Total",NA,NA,NA,2564,3844,166,2207,2357,162,2607,3077,156
"Ireland","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","From 50 to 59 years","Total",3096,3651,114,4153,5021,135,4717,5215,134,4006,4898,133
"Italy","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","From 50 to 59 years","Total",NA,NA,NA,2728,2791,108,3381,3460,124,3288,3385,119
"Latvia","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","From 50 to 59 years","Total",NA,NA,NA,995,572,156,750,682,142,1092,766,154
"Lithuania","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","From 50 to 59 years","Total",760,374,146,932,504,142,1021,604,139,1109,695,146
"Luxembourg","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","From 50 to 59 years","Total",NA,NA,NA,5423,6087,163,5177,6262,160,5784,6966,168
"Macedonia","Industry, construction and services (except public administration, defense, compulsory social security)","Professionals","From 50 to 59 years","Total",NA,NA,NA,NA,NA,NA,1689,654,168,1455,677,182
