"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",6429,6415,171,5826,6126,169,6300,6953,169,6610,6995,171
"Belgium",5380,5387,168,5578,6046,163,6220,6905,155,7356,7995,166
"Bulgaria",844,342,183,1369,522,174,1966,873,163,2315,1108,179
"Croatia",NA,NA,NA,NA,NA,NA,3093,2178,167,NA,NA,NA
"Cyprus",4312,3951,168,3483,5272,165,6752,5997,167,5676,5112,169
"Czech Rep.",1648,852,168,2330,1417,169,2901,2100,170,3399,2166,169
"Denmark",4312,5553,161,5018,6882,160,5902,8060,160,6529,9084,160
"Estonia",1402,734,180,1757,1122,172,2250,1546,164,2527,1911,182
"Finland",3805,4512,161,4707,5489,162,5580,6667,161,6114,7478,162
"France",4567,4582,149,4778,5295,172,4713,5296,163,5390,5804,167
"Germany",5263,5446,166,6252,6428,162,7279,7604,162,8303,8426,168
"Greece",3315,2767,171,4611,3958,173,4426,4074,170,4998,4270,168
"Hungary",1928,1033,183,2276,1359,179,2807,1677,165,3029,1743,170
"Iceland",3612,4730,164,4208,6309,172,3589,3834,171,5728,6760,172
"Ireland",4357,5137,156,5012,6058,166,5446,6022,158,4079,4988,145
"Italy",7024,6598,168,6658,6812,169,6678,6833,164,7281,7495,174
"Latvia",1039,524,179,1377,791,169,1051,955,149,1637,1148,162
"Lithuania",1342,661,175,1443,780,168,1676,991,160,1871,1174,169
"Luxembourg",7216,7385,173,7929,8901,170,8486,10265,167,8895,10713,181
"Macedonia",NA,NA,NA,NA,NA,NA,2760,1069,168,2249,1046,183
"Malta",2631,1900,174,1392,2237,170,3846,2812,172,4010,3243,176
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,3487,1934,179
"Netherlands",4211,4294,162,4638,4943,155,4952,5516,159,5878,6455,166
"Norway",4020,5872,161,4833,6407,160,5183,7655,160,5955,8722,160
"Poland",2525,1493,185,2714,1577,171,2977,1779,164,3872,2162,179
"Portugal",4725,3618,166,4554,3700,162,5268,4367,161,6019,4903,161
"Romania",1407,579,185,1907,952,175,2486,1232,166,2395,1273,180
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,2269,1145,183
"Slovakia",1523,662,173,1825,1244,169,2309,1545,161,2593,1758,174
"Slovenia",3251,2233,173,4990,3725,173,4566,3841,165,4449,3633,178
"Spain",5675,4837,177,4798,4333,168,4766,4484,167,4675,4316,167
"Sweden",4040,5057,170,4582,5521,169,4815,5956,171,5763,7236,172
"Switzerland",NA,NA,NA,NA,NA,NA,8009,11487,175,7399,11014,173
"Turkey",NA,NA,NA,3829,2202,192,4401,2720,191,6482,3877,192
"United Kingdom",4680,5374,163,5059,5709,163,5175,5469,163,4874,5922,162
