"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1490,1487,178,1512,1590,173,1540,1700,167,1882,1992,174
"Belgium",NA,NA,NA,1872,2029,164,2016,2238,163,2117,2301,169
"Bulgaria",263,106,183,382,146,175,579,257,163,717,343,182
"Croatia",NA,NA,NA,NA,NA,NA,920,648,168,NA,NA,NA
"Cyprus",1184,1085,172,870,1317,169,1511,1342,173,1245,1121,174
"Czech Rep.",729,377,172,942,573,174,998,722,173,1161,740,173
"Denmark",1743,2244,130,1790,2454,127,1952,2666,125,1980,2754,123
"Estonia",650,341,185,989,632,175,1091,749,169,1416,1070,184
"Finland",1625,1927,168,1854,2162,167,2103,2512,167,2202,2692,167
"France",1319,1324,147,1369,1517,153,1385,1557,152,1644,1770,154
"Germany",1559,1613,166,1580,1624,166,1604,1675,162,1979,2009,166
"Greece",1025,855,172,1227,1053,173,1339,1233,169,1063,908,162
"Hungary",629,337,185,722,431,183,872,521,166,941,542,167
"Iceland",1530,2003,169,1581,2370,160,1554,1660,165,1889,2229,170
"Ireland",1767,2084,158,2098,2536,167,2168,2398,162,2097,2565,147
"Italy",1409,1323,179,1423,1456,173,1501,1536,163,1584,1630,175
"Latvia",445,224,173,641,368,170,507,461,148,951,667,162
"Lithuania",516,254,174,767,414,173,NA,NA,NA,909,570,176
"Luxembourg",1812,1854,171,1764,1980,167,1756,2124,162,2055,2474,185
"Macedonia",NA,NA,NA,NA,NA,NA,689,267,164,684,318,181
"Malta",1269,916,187,643,1033,182,1821,1331,189,1689,1366,182
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,807,448,180
"Netherlands",1595,1627,157,1478,1575,152,1640,1828,151,1534,1684,145
"Norway",2056,3003,164,2386,3163,166,2494,3683,163,2644,3872,163
"Poland",667,395,189,773,449,177,952,569,171,1240,693,186
"Portugal",708,542,170,729,592,174,862,715,174,923,752,175
"Romania",308,127,190,462,231,179,624,309,170,711,378,187
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,772,389,182
"Slovakia",636,277,173,626,427,173,938,628,166,1122,761,175
"Slovenia",1008,692,169,1111,829,180,1200,1009,167,1387,1133,181
"Spain",1327,1131,183,1434,1295,171,1579,1485,171,1673,1544,171
"Sweden",1684,2108,173,1964,2366,175,2205,2728,176,2476,3108,174
"Switzerland",NA,NA,NA,NA,NA,NA,2449,3513,175,2778,4136,170
"Turkey",NA,NA,NA,667,384,201,NA,NA,NA,873,522,202
"United Kingdom",2053,2358,182,2171,2450,182,1974,2086,180,1986,2412,180
