"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",181,73,176,241,92,170,324,144,144,NA,NA,NA
"Croatia",NA,NA,NA,NA,NA,NA,627,441,151,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",552,285,171,NA,NA,NA,807,584,179,870,554,177
"Denmark",1844,2374,119,1470,2016,113,1515,2069,106,1580,2199,102
"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland",NA,NA,NA,1693,1974,163,1388,1659,161,1497,1830,165
"France",1303,1307,137,NA,NA,NA,1391,1563,162,1369,1474,156
"Germany",1286,1330,166,1092,1123,147,1335,1394,160,1565,1588,168
"Greece",834,696,164,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary",502,269,185,513,306,175,733,438,166,852,490,171
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",1505,1774,146,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy",1517,1425,178,NA,NA,NA,1524,1559,155,1118,1151,164
"Latvia",301,152,164,410,235,159,372,338,147,NA,NA,NA
"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg",NA,NA,NA,NA,NA,NA,1688,2042,170,1890,2275,175
"Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",762,777,99,753,802,105,943,1051,110,1010,1110,112
"Norway",NA,NA,NA,1634,2166,137,2115,3124,160,2358,3454,154
"Poland",558,330,190,NA,NA,NA,670,401,169,923,516,184
"Portugal",NA,NA,NA,710,577,173,868,720,173,976,795,167
"Romania",247,102,187,280,140,174,432,214,152,459,244,184
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia",NA,NA,NA,NA,NA,NA,664,444,162,838,568,174
"Slovenia",NA,NA,NA,1116,833,190,899,756,160,1274,1040,182
"Spain",1024,873,177,1333,1204,164,1239,1166,165,1680,1551,159
"Sweden",NA,NA,NA,1693,2040,174,1827,2260,176,2258,2835,174
"Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,2576,3835,173
"Turkey",NA,NA,NA,742,427,202,NA,NA,NA,807,483,214
"United Kingdom",1521,1747,171,1766,1994,179,1533,1620,180,1502,1825,178
