"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1185,1245,144,1057,1167,132,1237,1309,133
"Belgium",NA,NA,NA,1617,1753,151,1717,1906,142,1677,1823,130
"Bulgaria",202,82,174,328,125,174,495,219,170,529,253,178
"Croatia",NA,NA,NA,NA,NA,NA,923,650,171,NA,NA,NA
"Cyprus",NA,NA,NA,589,892,172,1289,1145,164,1085,978,155
"Czech Rep.",669,346,163,824,501,164,1025,742,156,1003,639,165
"Denmark",NA,NA,NA,1286,1764,105,1309,1787,98,1291,1796,96
"Estonia",NA,NA,NA,680,434,167,855,588,156,956,723,163
"Finland",NA,NA,NA,1227,1431,130,1249,1492,122,1342,1641,124
"France",NA,NA,NA,1284,1423,141,1226,1378,132,1320,1421,129
"Germany",NA,NA,NA,1349,1387,147,732,764,82,1430,1451,141
"Greece",NA,NA,NA,1068,917,161,1041,958,157,929,794,164
"Hungary",512,274,182,653,390,177,741,443,162,789,454,160
"Iceland",NA,NA,NA,807,1210,101,857,916,105,916,1081,100
"Ireland",1504,1773,132,1651,1996,139,1962,2169,149,1752,2143,128
"Italy",NA,NA,NA,1242,1271,129,1320,1351,148,1317,1355,150
"Latvia",NA,NA,NA,640,368,171,470,427,145,681,477,147
"Lithuania",360,177,153,658,355,161,565,334,150,638,400,167
"Luxembourg",NA,NA,NA,2027,2275,161,2257,2730,157,2099,2527,164
"Macedonia",NA,NA,NA,NA,NA,NA,853,330,155,687,320,179
"Malta",NA,NA,NA,609,979,170,1462,1069,149,1627,1316,144
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,565,313,176
"Netherlands",1325,1352,124,934,995,104,1068,1190,95,1080,1186,94
"Norway",NA,NA,NA,1381,1831,109,1253,1851,98,1304,1909,93
"Poland",627,371,182,746,433,163,841,502,159,1024,572,173
"Portugal",NA,NA,NA,970,788,163,915,759,163,946,771,167
"Romania",298,122,186,474,237,180,585,290,162,541,288,164
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,707,357,181
"Slovakia",637,277,175,574,391,167,803,538,160,848,575,156
"Slovenia",1454,998,171,1506,1124,174,1357,1141,164,1155,943,170
"Spain",1213,1034,163,1177,1063,150,1180,1110,139,1144,1056,144
"Sweden",NA,NA,NA,1251,1508,126,1311,1621,123,1548,1944,136
"Switzerland",NA,NA,NA,NA,NA,NA,1801,2583,125,2189,3259,135
"Turkey",NA,NA,NA,742,427,196,844,522,198,800,479,195
"United Kingdom",1589,1824,141,1640,1851,140,1250,1321,128,1213,1473,126
