"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1018,1070,162,704,777,163,976,1033,166
"Belgium",NA,NA,NA,1451,1573,155,1616,1794,153,1490,1620,139
"Bulgaria",235,95,185,318,121,169,NA,NA,NA,643,308,168
"Croatia",NA,NA,NA,NA,NA,NA,1475,1039,168,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",652,337,176,852,518,175,765,553,158,969,618,178
"Denmark",NA,NA,NA,1741,2387,146,1768,2415,122,1609,2239,115
"Estonia",NA,NA,NA,651,416,169,NA,NA,NA,NA,NA,NA
"Finland",NA,NA,NA,1400,1632,159,1702,2033,161,1888,2309,158
"France",NA,NA,NA,1181,1309,140,1322,1485,143,1329,1431,140
"Germany",NA,NA,NA,1213,1247,154,853,891,162,1066,1082,166
"Greece",NA,NA,NA,1323,1136,183,1591,1464,167,NA,NA,NA
"Hungary",539,289,187,593,354,179,646,386,166,783,451,163
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",NA,NA,NA,1921,2322,161,NA,NA,NA,1932,2363,134
"Italy",NA,NA,NA,1433,1466,164,1136,1162,137,1226,1262,157
"Latvia",NA,NA,NA,503,289,167,371,337,139,537,376,140
"Lithuania",334,164,157,522,282,164,NA,NA,NA,NA,NA,NA
"Luxembourg",NA,NA,NA,1725,1937,165,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",1369,1396,150,1193,1272,142,1392,1551,146,1228,1348,138
"Norway",NA,NA,NA,1763,2338,130,2000,2954,143,2020,2958,138
"Poland",623,368,187,715,416,169,746,446,161,983,549,183
"Portugal",NA,NA,NA,925,752,181,792,657,169,870,709,169
"Romania",267,110,190,412,206,179,415,206,162,636,338,187
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,726,366,178
"Slovakia",530,230,177,506,345,165,803,537,163,945,641,170
"Slovenia",NA,NA,NA,1114,832,178,1186,998,174,1506,1230,183
"Spain",1223,1042,175,1273,1149,160,1513,1423,166,1246,1150,153
"Sweden",NA,NA,NA,1356,1634,135,1664,2059,161,2118,2659,167
"Switzerland",NA,NA,NA,NA,NA,NA,2213,3174,155,2285,3401,139
"Turkey",NA,NA,NA,771,444,200,NA,NA,NA,745,446,198
"United Kingdom",1928,2214,173,1846,2083,161,1752,1851,160,1818,2209,171
