"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,816,858,118,867,957,117,851,901,104
"Belgium",NA,NA,NA,1224,1327,138,1318,1463,133,1451,1577,133
"Bulgaria",168,68,181,243,93,164,361,160,163,401,192,165
"Croatia",NA,NA,NA,NA,NA,NA,780,549,155,NA,NA,NA
"Cyprus",NA,NA,NA,709,1073,179,734,652,140,959,863,172
"Czech Rep.",502,260,170,604,368,166,658,476,170,651,415,163
"Denmark",NA,NA,NA,1057,1450,89,802,1095,64,612,851,49
"Estonia",NA,NA,NA,344,220,143,417,286,142,541,409,159
"Finland",NA,NA,NA,1200,1400,153,1263,1509,153,1364,1668,150
"France",NA,NA,NA,1087,1204,129,885,994,112,1084,1167,127
"Germany",NA,NA,NA,814,837,118,957,999,152,519,527,61
"Greece",NA,NA,NA,1314,1128,166,987,908,152,663,566,143
"Hungary",452,242,182,517,309,165,542,323,150,649,373,154
"Iceland",NA,NA,NA,697,1046,101,634,678,92,739,872,86
"Ireland",1086,1280,116,1254,1516,129,2054,2271,158,1598,1955,115
"Italy",NA,NA,NA,1302,1333,148,1125,1151,143,1226,1262,142
"Latvia",NA,NA,NA,331,190,158,289,263,148,467,328,154
"Lithuania",280,138,164,359,194,150,337,199,124,396,248,134
"Luxembourg",NA,NA,NA,1318,1480,154,1416,1713,159,1609,1938,172
"Macedonia",NA,NA,NA,NA,NA,NA,738,286,170,681,317,183
"Malta",NA,NA,NA,462,743,171,978,715,128,1253,1013,156
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,697,387,167
"Netherlands",943,962,97,684,729,91,567,632,81,655,719,69
"Norway",NA,NA,NA,1189,1577,99,1121,1656,90,976,1429,80
"Poland",496,293,184,551,320,159,632,378,151,833,465,163
"Portugal",NA,NA,NA,690,560,164,734,608,161,743,605,168
"Romania",222,91,194,358,179,179,366,181,159,450,239,165
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,556,281,182
"Slovakia",391,170,167,401,274,161,679,455,159,660,447,166
"Slovenia",838,576,146,771,575,176,891,749,162,973,795,171
"Spain",849,723,156,1020,921,147,897,844,139,905,835,126
"Sweden",NA,NA,NA,974,1174,110,990,1225,105,1185,1487,112
"Switzerland",NA,NA,NA,NA,NA,NA,1370,1965,118,1039,1547,78
"Turkey",NA,NA,NA,629,362,196,NA,NA,NA,715,428,197
"United Kingdom",884,1015,106,860,971,103,713,753,89,701,852,88
