"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1549,1628,190,997,1100,167,1190,1259,136
"Belgium",NA,NA,NA,1395,1512,154,1524,1692,154,1507,1638,131
"Bulgaria",252,102,186,362,138,176,466,206,162,508,243,174
"Croatia",NA,NA,NA,NA,NA,NA,1234,869,166,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",708,366,179,854,519,180,886,641,179,916,583,177
"Denmark",NA,NA,NA,1897,2602,123,1638,2237,107,1133,1577,78
"Estonia",NA,NA,NA,718,459,165,758,521,167,836,632,169
"Finland",NA,NA,NA,1527,1781,163,1317,1574,142,1491,1823,162
"France",NA,NA,NA,1421,1575,149,1080,1214,136,1260,1357,147
"Germany",NA,NA,NA,1209,1242,134,886,926,120,1056,1071,115
"Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary",621,333,190,681,407,183,799,477,174,837,481,165
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",1438,1696,169,1632,1973,172,1630,1803,160,NA,NA,NA
"Italy",NA,NA,NA,1551,1587,145,1357,1389,169,1304,1342,166
"Latvia",NA,NA,NA,666,383,175,492,447,157,816,572,164
"Lithuania",430,212,177,675,365,169,NA,NA,NA,678,425,182
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",1590,1622,141,1343,1432,135,1008,1122,109,694,763,78
"Norway",NA,NA,NA,2046,2712,152,1715,2533,132,1898,2780,140
"Poland",698,413,187,787,457,173,753,450,165,1205,673,183
"Portugal",NA,NA,NA,924,751,174,870,721,170,858,699,173
"Romania",294,121,190,433,216,178,556,275,169,600,319,182
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,693,350,182
"Slovakia",473,205,176,551,375,169,844,565,167,940,637,178
"Slovenia",NA,NA,NA,1187,886,178,1458,1226,191,1539,1257,180
"Spain",1107,943,175,1344,1213,155,1602,1507,166,1240,1144,151
"Sweden",NA,NA,NA,1525,1838,155,1470,1819,152,1915,2404,164
"Switzerland",NA,NA,NA,NA,NA,NA,2151,3085,154,1729,2573,133
"Turkey",NA,NA,NA,617,355,196,NA,NA,NA,793,475,198
"United Kingdom",1781,2045,159,2035,2297,176,1638,1730,166,1599,1942,165
