"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Total",NA,NA,NA,1508,1586,129,1685,1859,135,1664,1761,138
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Total",NA,NA,NA,1870,2027,151,2010,2232,147,1985,2158,140
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Total",297,120,180,476,182,173,760,337,160,957,458,171
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Total",NA,NA,NA,NA,NA,NA,1336,941,168,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Total",NA,NA,NA,718,1087,137,1842,1636,139,NA,NA,NA
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Total",816,422,166,985,599,166,1122,812,165,1134,723,163
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Total",NA,NA,NA,1729,2371,137,1867,2549,133,1811,2519,126
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Total",NA,NA,NA,712,455,144,870,598,143,936,708,154
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Total",NA,NA,NA,1681,1961,155,1971,2354,158,2088,2554,155
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Total",NA,NA,NA,1615,1790,142,1706,1917,143,1885,2030,143
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Total",NA,NA,NA,1493,1535,148,1466,1531,146,1779,1806,140
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Total",NA,NA,NA,1347,1156,171,1388,1278,174,1089,930,164
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Total",620,332,186,793,473,175,851,508,165,1067,614,169
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","Less than 30 years","Total",NA,NA,NA,1059,1588,110,1136,1213,124,1376,1624,121
