"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",NA,NA,NA,1253,1317,136,1265,1396,130,1398,1479,128
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",NA,NA,NA,1666,1806,131,1817,2017,133,1862,2023,127
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",265,108,180,384,146,170,606,269,162,663,317,173
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",NA,NA,NA,NA,NA,NA,1236,870,159,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",NA,NA,NA,968,1465,148,1673,1486,145,1660,1495,158
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",750,388,166,926,563,164,1035,749,165,1086,692,164
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",NA,NA,NA,1412,1937,116,1509,2061,108,1420,1976,101
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",NA,NA,NA,702,448,144,869,597,139,995,753,152
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",NA,NA,NA,1609,1876,154,1764,2107,152,1918,2345,153
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",NA,NA,NA,1488,1649,141,1450,1629,139,1629,1754,137
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",NA,NA,NA,1400,1439,141,1366,1427,133,1598,1621,131
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",NA,NA,NA,1233,1059,156,1346,1239,152,1156,987,159
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",608,326,186,785,469,174,849,507,163,1005,578,166
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",NA,NA,NA,1101,1651,120,1021,1090,117,1165,1375,114
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",1707,2012,121,2116,2558,139,2404,2658,142,2014,2463,116
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",NA,NA,NA,1336,1367,133,1547,1583,140,2033,2092,145
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",NA,NA,NA,607,349,153,451,409,138,705,495,148
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",425,209,141,631,341,141,667,394,130,722,453,142
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",NA,NA,NA,2187,2455,155,2148,2598,152,2657,3200,166
"Macedonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",NA,NA,NA,NA,NA,NA,1135,439,161,925,430,177
"Malta","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",NA,NA,NA,687,1103,140,1688,1234,136,1762,1425,143
"Montenegro","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,957,531,176
"Netherlands","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",1356,1383,118,1120,1194,111,1272,1417,108,1419,1558,105
"Norway","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",NA,NA,NA,1742,2310,119,1626,2401,108,1791,2624,107
"Poland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",664,393,148,713,414,122,916,547,127,1114,622,146
"Portugal","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",NA,NA,NA,1260,1024,156,1373,1138,156,1141,929,162
"Romania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",334,137,186,548,274,177,568,281,161,617,328,173
"Serbia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,925,467,172
"Slovakia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",569,247,173,564,385,161,902,604,155,1017,690,164
"Slovenia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",1433,984,152,1475,1101,176,1463,1231,160,1472,1202,172
"Spain","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",1267,1080,152,1403,1267,142,1464,1377,137,1356,1252,125
"Sweden","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",NA,NA,NA,1230,1483,117,1316,1628,119,1601,2010,128
"Switzerland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",NA,NA,NA,NA,NA,NA,2039,2925,132,2458,3659,141
"Turkey","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",NA,NA,NA,843,485,192,1015,627,194,1096,655,194
"United Kingdom","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Less than 30 years","Total",1726,1983,135,1804,2035,133,1635,1728,131,1569,1906,133
