"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Non manual workers","Less than 30 years","Total",1788,1785,172,1829,1923,166,1915,2114,161,2142,2266,166
"Belgium","Industry and construction","Non manual workers","Less than 30 years","Total",2127,2129,173,2173,2355,166,2309,2564,159,2768,3009,170
"Bulgaria","Industry and construction","Non manual workers","Less than 30 years","Total",330,134,182,505,192,174,779,346,163,948,454,181
"Croatia","Industry and construction","Non manual workers","Less than 30 years","Total",NA,NA,NA,NA,NA,NA,1267,892,169,NA,NA,NA
"Cyprus","Industry and construction","Non manual workers","Less than 30 years","Total",1014,930,167,677,1025,169,1451,1289,168,1224,1102,169
"Czech Rep.","Industry and construction","Non manual workers","Less than 30 years","Total",933,482,169,1207,734,170,1258,910,171,1414,901,170
"Denmark","Industry and construction","Non manual workers","Less than 30 years","Total",1872,2411,135,1905,2613,132,2014,2751,120,1947,2709,112
"Estonia","Industry and construction","Non manual workers","Less than 30 years","Total",1010,529,181,1176,752,172,1454,999,166,1600,1210,180
"Finland","Industry and construction","Non manual workers","Less than 30 years","Total",1969,2335,165,2146,2503,162,2341,2797,161,2433,2976,164
"France","Industry and construction","Non manual workers","Less than 30 years","Total",1879,1885,148,1960,2172,158,1861,2092,155,2077,2237,157
"Germany","Industry and construction","Non manual workers","Less than 30 years","Total",1869,1934,160,1868,1920,157,1990,2079,156,2318,2353,158
"Greece","Industry and construction","Non manual workers","Less than 30 years","Total",1085,906,171,1265,1086,173,1357,1249,165,1052,899,163
"Hungary","Industry and construction","Non manual workers","Less than 30 years","Total",1069,573,185,1181,705,182,1256,750,167,1608,925,171
"Iceland","Industry and construction","Non manual workers","Less than 30 years","Total",990,1297,99,877,1315,88,1637,1748,136,1454,1716,122
"Ireland","Industry and construction","Non manual workers","Less than 30 years","Total",2190,2582,157,2430,2937,170,2461,2722,166,2268,2773,164
"Italy","Industry and construction","Non manual workers","Less than 30 years","Total",1638,1538,181,1582,1618,174,1729,1769,169,1815,1868,182
"Latvia","Industry and construction","Non manual workers","Less than 30 years","Total",668,337,173,889,511,168,701,637,152,1168,819,166
"Lithuania","Industry and construction","Non manual workers","Less than 30 years","Total",775,382,173,1031,557,169,1060,627,160,1174,736,171
"Luxembourg","Industry and construction","Non manual workers","Less than 30 years","Total",2228,2280,173,2246,2521,168,2380,2879,167,2421,2916,182
"Macedonia","Industry and construction","Non manual workers","Less than 30 years","Total",NA,NA,NA,NA,NA,NA,1200,465,169,1002,466,182
"Malta","Industry and construction","Non manual workers","Less than 30 years","Total",1431,1033,173,690,1110,177,2015,1473,180,2048,1657,181
"Montenegro","Industry and construction","Non manual workers","Less than 30 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1488,825,179
"Netherlands","Industry and construction","Non manual workers","Less than 30 years","Total",1930,1969,152,1708,1820,149,1888,2103,148,2070,2274,149
"Norway","Industry and construction","Non manual workers","Less than 30 years","Total",2210,3228,154,2532,3358,152,3027,4471,158,3252,4763,156
"Poland","Industry and construction","Non manual workers","Less than 30 years","Total",970,574,187,1098,638,175,1272,760,168,1562,872,183
"Portugal","Industry and construction","Non manual workers","Less than 30 years","Total",1075,823,169,1097,892,171,1145,949,171,1089,887,172
"Romania","Industry and construction","Non manual workers","Less than 30 years","Total",467,192,188,675,337,177,1035,513,169,1036,551,184
"Serbia","Industry and construction","Non manual workers","Less than 30 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1068,539,185
"Slovakia","Industry and construction","Non manual workers","Less than 30 years","Total",824,358,175,835,569,171,1214,813,164,1366,926,176
"Slovenia","Industry and construction","Non manual workers","Less than 30 years","Total",1405,965,162,1516,1131,178,1603,1349,167,1871,1527,181
"Spain","Industry and construction","Non manual workers","Less than 30 years","Total",1517,1293,179,1582,1429,167,1732,1629,168,1783,1646,167
"Sweden","Industry and construction","Non manual workers","Less than 30 years","Total",1867,2336,168,2085,2513,168,2195,2715,168,2567,3223,171
"Switzerland","Industry and construction","Non manual workers","Less than 30 years","Total",NA,NA,NA,NA,NA,NA,2606,3737,170,3092,4604,167
"Turkey","Industry and construction","Non manual workers","Less than 30 years","Total",NA,NA,NA,909,523,200,1063,657,198,1190,712,199
"United Kingdom","Industry and construction","Non manual workers","Less than 30 years","Total",2326,2671,162,2432,2744,163,2211,2336,165,2246,2729,166
