"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",NA,NA,NA,229,87,168,327,145,151,408,195,169
"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",493,255,169,NA,NA,NA,947,686,173,869,553,175
"Denmark",1871,2409,108,1610,2208,120,2005,2738,127,2131,2965,129
"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland",NA,NA,NA,2016,2351,162,1360,1625,162,NA,NA,NA
"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,862,929,156
"Germany",1318,1364,162,1378,1417,149,1635,1708,158,1733,1758,153
"Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary",511,274,180,496,296,179,717,428,173,NA,NA,NA
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy",1489,1399,181,NA,NA,NA,1786,1828,158,NA,NA,NA
"Latvia",315,159,168,445,255,162,474,431,155,868,609,173
"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",1117,1139,153,1045,1114,144,1118,1246,145,1128,1239,129
"Norway",2001,2922,170,1964,2604,151,2249,3322,165,2669,3910,168
"Poland",531,314,188,NA,NA,NA,834,498,172,NA,NA,NA
"Portugal",NA,NA,NA,NA,NA,NA,803,665,173,NA,NA,NA
"Romania",244,100,187,NA,NA,NA,NA,NA,NA,453,241,184
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia",NA,NA,NA,NA,NA,NA,863,577,164,NA,NA,NA
"Slovenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain",1067,909,175,1213,1095,165,NA,NA,NA,NA,NA,NA
"Sweden",1595,1996,177,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turkey",NA,NA,NA,846,487,205,NA,NA,NA,814,487,216
"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
