"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1451,1526,157,1433,1581,152,1603,1697,154
"Belgium",NA,NA,NA,1749,1896,156,1887,2095,153,1915,2081,151
"Bulgaria",267,108,179,395,151,173,691,307,163,774,370,179
"Croatia",NA,NA,NA,NA,NA,NA,1214,855,169,NA,NA,NA
"Cyprus",NA,NA,NA,624,945,167,1387,1232,167,1225,1103,164
"Czech Rep.",747,386,167,957,582,168,1088,788,168,1162,740,169
"Denmark",NA,NA,NA,1304,1789,106,1353,1847,95,1328,1847,92
"Estonia",NA,NA,NA,826,528,164,969,666,156,1115,843,173
"Finland",NA,NA,NA,1465,1709,144,1548,1849,138,1649,2016,142
"France",NA,NA,NA,1338,1483,143,1410,1584,145,1542,1661,144
"Germany",NA,NA,NA,1616,1662,154,1350,1410,138,1825,1852,156
"Greece",NA,NA,NA,1094,939,163,1150,1059,161,991,847,159
"Hungary",710,381,181,824,492,178,1060,633,164,1137,654,165
"Iceland",NA,NA,NA,969,1453,107,1212,1295,128,1376,1624,129
"Ireland",1627,1918,147,1765,2134,156,1988,2198,156,1890,2311,138
"Italy",NA,NA,NA,1564,1600,168,1575,1612,161,1536,1581,168
"Latvia",NA,NA,NA,696,400,168,570,518,150,963,675,156
"Lithuania",515,253,166,709,383,167,743,439,157,844,529,170
"Luxembourg",NA,NA,NA,2051,2302,166,2122,2567,161,2194,2642,175
"Macedonia",NA,NA,NA,NA,NA,NA,1107,429,166,788,367,180
"Malta",NA,NA,NA,609,979,170,1533,1121,167,1452,1174,157
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,800,444,177
"Netherlands",1139,1162,122,1027,1094,109,1191,1327,111,1271,1396,117
"Norway",NA,NA,NA,1692,2244,127,1636,2417,117,1817,2661,118
"Poland",767,453,186,759,441,168,969,579,164,1175,656,179
"Portugal",NA,NA,NA,925,751,166,981,813,166,1034,842,168
"Romania",400,164,185,566,282,175,723,358,166,721,383,176
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,923,466,184
"Slovakia",557,242,166,632,431,169,963,644,161,1081,733,170
"Slovenia",1223,840,161,1217,909,176,1247,1049,164,1327,1084,171
"Spain",1122,956,169,1181,1067,159,1304,1227,157,1319,1217,155
"Sweden",1308,1636,149,1511,1820,150,1668,2064,155,1987,2495,159
"Switzerland",NA,NA,NA,NA,NA,NA,2350,3371,159,2396,3568,152
"Turkey",NA,NA,NA,818,471,197,1017,628,194,930,556,195
"United Kingdom",1567,1799,145,1658,1871,146,1395,1474,139,1401,1703,141
