"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1263,1328,146,1234,1362,140,1326,1403,134
"Belgium",NA,NA,NA,1491,1616,142,1540,1709,136,1568,1705,133
"Bulgaria",192,78,181,273,104,171,413,183,155,497,238,178
"Croatia",NA,NA,NA,NA,NA,NA,817,576,164,NA,NA,NA
"Cyprus",NA,NA,NA,716,1084,177,1174,1043,176,1054,949,167
"Czech Rep.",616,318,170,741,451,170,778,563,171,871,555,169
"Denmark",NA,NA,NA,918,1259,72,841,1148,59,762,1060,51
"Estonia",NA,NA,NA,648,414,157,750,515,157,918,694,165
"Finland",NA,NA,NA,1351,1575,146,1460,1745,146,1561,1909,147
"France",NA,NA,NA,1150,1274,142,1091,1226,134,1244,1340,134
"Germany",NA,NA,NA,1061,1091,127,1064,1112,131,641,651,72
"Greece",NA,NA,NA,1136,975,168,1089,1002,160,920,786,161
"Hungary",508,272,181,527,315,172,629,376,159,768,442,164
"Iceland",NA,NA,NA,1208,1812,152,1136,1214,144,1482,1749,157
"Ireland",1183,1395,133,1382,1670,135,1690,1868,154,1527,1868,127
"Italy",NA,NA,NA,1204,1232,152,1277,1307,155,1416,1457,166
"Latvia",NA,NA,NA,538,309,161,411,374,147,661,464,149
"Lithuania",353,174,167,584,316,166,536,317,152,642,403,159
"Luxembourg",NA,NA,NA,1316,1478,142,1411,1707,144,1577,1899,155
"Macedonia",NA,NA,NA,NA,NA,NA,720,279,168,632,294,179
"Malta",NA,NA,NA,457,735,161,1251,914,170,1057,855,143
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,786,436,174
"Netherlands",730,745,89,607,647,83,556,619,73,519,570,63
"Norway",NA,NA,NA,1357,1800,109,1414,2089,107,1547,2266,109
"Poland",571,338,188,651,378,172,846,506,166,1026,573,177
"Portugal",NA,NA,NA,721,586,170,747,619,162,775,631,159
"Romania",230,95,190,343,171,179,463,229,170,525,279,181
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,759,383,184
"Slovakia",498,217,168,491,335,169,709,475,162,843,572,169
"Slovenia",1022,702,165,900,672,178,1020,858,167,1174,959,178
"Spain",1002,854,167,1134,1024,159,1119,1053,147,1129,1043,140
"Sweden",1255,1570,147,1288,1552,136,1357,1679,134,1478,1856,130
"Switzerland",NA,NA,NA,NA,NA,NA,1452,2083,129,1989,2961,133
"Turkey",NA,NA,NA,639,368,200,748,462,201,776,464,200
"United Kingdom",1217,1397,135,1261,1424,137,994,1050,124,1030,1251,128
