"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1398,1470,151,1415,1562,144,1568,1659,143
"Belgium",NA,NA,NA,1766,1914,143,1909,2119,142,2085,2266,143
"Bulgaria",307,124,180,487,186,170,765,340,160,921,441,177
"Croatia",NA,NA,NA,NA,NA,NA,1205,849,166,NA,NA,NA
"Cyprus",NA,NA,NA,793,1200,164,1510,1342,166,1349,1215,166
"Czech Rep.",888,459,168,1098,667,168,1165,843,169,1254,799,167
"Denmark",NA,NA,NA,1322,1813,106,1440,1966,100,1348,1875,93
"Estonia",NA,NA,NA,979,625,162,1103,758,156,1195,903,166
"Finland",NA,NA,NA,1576,1838,142,1694,2023,140,1756,2148,139
"France",NA,NA,NA,1639,1817,147,1612,1811,145,1806,1945,146
"Germany",NA,NA,NA,1570,1614,147,1535,1603,140,1788,1815,142
"Greece",NA,NA,NA,1191,1022,163,1234,1135,155,1009,862,150
"Hungary",834,447,184,958,572,178,1152,688,163,1391,801,168
"Iceland",NA,NA,NA,1076,1613,109,1154,1232,121,1180,1392,112
"Ireland",1670,1968,132,1948,2354,150,2032,2247,147,1881,2300,125
"Italy",NA,NA,NA,1509,1543,159,1559,1595,157,1655,1703,163
"Latvia",NA,NA,NA,798,458,164,658,598,147,952,668,153
"Lithuania",616,303,162,821,443,161,923,546,150,953,598,164
"Luxembourg",NA,NA,NA,2192,2460,163,2243,2714,158,2454,2955,173
"Macedonia",NA,NA,NA,NA,NA,NA,1216,471,165,891,415,179
"Malta",NA,NA,NA,638,1025,152,1594,1166,151,1627,1316,149
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,558,176
"Netherlands",1441,1470,129,1237,1318,118,1244,1386,108,1281,1407,106
"Norway",NA,NA,NA,1625,2155,114,1596,2357,107,1779,2606,108
"Poland",854,505,176,900,523,158,1118,668,155,1372,766,171
"Portugal",NA,NA,NA,1071,870,164,1081,896,157,997,812,156
"Romania",432,178,186,641,320,176,897,444,165,931,495,177
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,970,490,180
"Slovakia",762,331,172,742,506,168,1107,741,160,1207,818,171
"Slovenia",1357,932,155,1402,1047,177,1463,1230,163,1549,1265,174
"Spain",1315,1121,167,1353,1222,154,1428,1344,151,1375,1270,140
"Sweden",1489,1864,145,1477,1780,133,1563,1933,133,1792,2251,135
"Switzerland",NA,NA,NA,NA,NA,NA,2170,3112,149,2607,3881,150
"Turkey",NA,NA,NA,914,526,197,1050,649,196,1063,636,195
"United Kingdom",1736,1994,135,1859,2098,137,1663,1757,136,1655,2010,138
