"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1915,2014,179,1943,2144,173,2216,2345,174
"Belgium",NA,NA,NA,2065,2239,165,2083,2313,160,2072,2253,164
"Bulgaria",272,110,183,386,147,176,572,254,166,658,315,183
"Croatia",NA,NA,NA,NA,NA,NA,988,696,170,NA,NA,NA
"Cyprus",NA,NA,NA,854,1292,179,1366,1213,172,1263,1138,172
"Czech Rep.",759,392,171,910,553,172,944,683,172,1054,671,171
"Denmark",NA,NA,NA,1747,2397,116,2037,2782,115,1945,2707,112
"Estonia",NA,NA,NA,879,562,175,1006,692,171,1275,964,186
"Finland",NA,NA,NA,1895,2211,168,2140,2557,166,2198,2689,167
"France",NA,NA,NA,1535,1701,156,1544,1735,154,1723,1855,153
"Germany",NA,NA,NA,1864,1916,159,1685,1760,156,2022,2052,155
"Greece",NA,NA,NA,1354,1162,179,1358,1250,164,1297,1108,162
"Hungary",681,365,188,777,464,186,891,532,170,1011,581,177
"Iceland",NA,NA,NA,1743,2614,182,1660,1773,164,1837,2168,165
"Ireland",1541,1817,163,2017,2438,175,1962,2169,169,2029,2481,156
"Italy",NA,NA,NA,1533,1568,173,1641,1679,168,1730,1781,180
"Latvia",NA,NA,NA,676,389,172,574,521,153,910,638,162
"Lithuania",523,258,176,783,423,173,815,482,166,933,585,181
"Luxembourg",NA,NA,NA,1911,2145,165,1993,2410,165,2231,2687,177
"Macedonia",NA,NA,NA,NA,NA,NA,707,274,165,705,328,181
"Malta",NA,NA,NA,665,1069,191,1560,1141,189,1489,1204,176
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,857,475,175
"Netherlands",1693,1727,159,1448,1543,147,1650,1838,150,1444,1585,133
"Norway",NA,NA,NA,2344,3108,159,2398,3541,155,2631,3854,152
"Poland",740,437,189,807,469,179,1029,615,172,1302,727,187
"Portugal",NA,NA,NA,897,729,175,897,743,175,909,740,175
"Romania",316,130,190,426,212,180,647,321,173,665,353,186
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,835,421,185
"Slovakia",681,296,174,624,425,172,861,576,165,999,678,171
"Slovenia",979,672,167,1069,798,178,1217,1024,167,1393,1138,179
"Spain",1328,1132,180,1439,1300,169,1481,1394,164,1498,1383,152
"Sweden",1619,2027,170,1910,2301,170,2059,2547,170,2428,3049,172
"Switzerland",NA,NA,NA,NA,NA,NA,2338,3353,174,2703,4024,172
"Turkey",NA,NA,NA,697,401,204,NA,NA,NA,857,512,203
"United Kingdom",1807,2075,176,1951,2202,179,1685,1780,174,1733,2106,176
