"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",187,76,177,238,91,170,325,144,144,NA,NA,NA
"Croatia",NA,NA,NA,NA,NA,NA,645,454,152,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",566,293,173,NA,NA,NA,797,577,178,866,552,176
"Denmark",NA,NA,NA,1353,1856,119,1490,2035,112,1498,2085,105
"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland",NA,NA,NA,1519,1771,164,1301,1554,160,1442,1764,160
"France",NA,NA,NA,1265,1402,148,1351,1518,159,1337,1439,152
"Germany",NA,NA,NA,1078,1108,150,1250,1306,155,1535,1558,166
"Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary",489,262,184,499,298,173,705,421,163,832,479,168
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",1417,1671,150,1889,2283,171,1389,1536,135,1312,1604,123
"Italy",NA,NA,NA,NA,NA,NA,1504,1539,153,1121,1154,164
"Latvia",NA,NA,NA,420,241,160,352,320,145,NA,NA,NA
"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg",NA,NA,NA,NA,NA,NA,1685,2039,167,1860,2239,176
"Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",805,821,101,742,791,102,898,1000,108,1011,1110,112
"Norway",NA,NA,NA,1528,2026,129,1965,2902,154,2289,3353,151
"Poland",589,348,189,677,393,170,703,420,169,935,522,184
"Portugal",NA,NA,NA,715,581,173,862,715,173,1036,844,168
"Romania",NA,NA,187,280,140,174,425,211,154,459,244,184
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia",405,176,176,479,327,170,661,443,162,847,574,174
"Slovenia",NA,NA,NA,1078,804,191,977,822,161,1207,985,174
"Spain",1042,888,179,1304,1178,165,1242,1168,165,1555,1435,154
"Sweden",NA,NA,NA,1417,1708,154,1507,1864,150,1980,2486,161
"Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,2553,3800,172
"Turkey",NA,NA,NA,743,428,202,936,578,198,807,483,214
"United Kingdom",1463,1680,169,1556,1756,167,1490,1575,171,1492,1812,169
