"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1302,1299,173,1405,1477,170,1472,1624,166,1761,1864,171
"Belgium",NA,NA,NA,1617,1753,153,1866,2072,159,2028,2204,162
"Bulgaria",280,113,182,390,149,171,579,257,NA,657,314,179
"Croatia",NA,NA,NA,NA,NA,NA,975,687,166,NA,NA,NA
"Cyprus",1152,1056,171,NA,NA,173,1619,1438,174,1241,1118,175
"Czech Rep.",754,390,174,941,572,174,971,703,173,1064,678,174
"Denmark",1563,2013,126,1729,2371,129,1918,2620,129,1771,2464,122
"Estonia",666,349,182,1129,722,175,1129,776,NA,1543,1166,181
"Finland",1560,1850,168,1698,1980,162,1956,2337,166,2065,2525,167
"France",1234,1239,144,1298,1438,152,1384,1555,152,1575,1696,154
"Germany",1294,1339,161,1311,1348,163,1393,1455,162,1702,1727,162
"Greece",1057,883,172,1306,1121,172,1378,1268,170,1017,869,163
"Hungary",567,304,183,676,404,181,813,486,165,858,494,161
"Iceland",NA,NA,NA,2159,3237,195,1742,1860,167,1883,2222,168
"Ireland",NA,NA,NA,1638,1980,152,NA,NA,NA,1770,2164,132
"Italy",1362,1280,167,1363,1394,169,1227,1256,148,1280,1318,148
"Latvia",437,220,170,659,379,170,578,525,151,946,663,168
"Lithuania",445,219,168,641,346,168,NA,NA,NA,775,486,172
"Luxembourg",1689,1729,160,1702,1911,156,NA,NA,NA,1906,2295,180
"Macedonia",NA,NA,NA,NA,NA,NA,869,337,NA,665,309,180
"Malta",1231,889,177,NA,NA,NA,NA,NA,NA,1533,1240,179
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,841,466,180
"Netherlands",1167,1190,144,1230,1311,138,1312,1462,136,1293,1420,131
"Norway",1903,2780,155,2355,3123,165,2363,3490,161,2485,3640,157
"Poland",697,412,189,739,429,174,932,557,167,1085,606,183
"Portugal",819,627,169,835,678,174,957,793,174,964,785,174
"Romania",332,136,185,560,280,176,641,317,168,647,344,185
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,753,380,176
"Slovakia",661,287,172,627,427,174,896,600,164,1010,685,176
"Slovenia",1100,755,172,1146,855,177,1222,1028,168,1359,1110,179
"Spain",1277,1088,182,1357,1226,170,1518,1428,169,1562,1442,167
"Sweden",1565,1958,171,1836,2212,174,2096,2593,177,2310,2900,176
"Switzerland",NA,NA,NA,NA,NA,NA,2398,3440,173,2558,3808,159
"Turkey",NA,NA,NA,701,404,200,NA,NA,NA,939,562,197
"United Kingdom",1957,2247,177,2065,2330,178,1803,1905,176,1897,2305,177
