"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1117,1115,144,1132,1191,138,1123,1240,133,1171,1239,125
"Belgium",1599,1601,156,1480,1604,134,1507,1673,132,1545,1680,127
"Bulgaria",193,78,179,263,100,167,420,186,148,513,246,174
"Croatia",NA,NA,NA,NA,NA,NA,812,572,162,NA,NA,NA
"Cyprus",785,719,141,605,916,177,1048,931,172,1053,948,166
"Czech Rep.",637,329,171,754,458,170,777,563,169,855,545,168
"Denmark",694,894,65,752,1032,61,730,997,52,676,941,46
"Estonia",462,242,170,666,426,147,752,517,150,800,605,149
"Finland",1024,1214,126,1237,1443,136,1345,1606,135,1454,1778,141
"France",1169,1173,127,1152,1277,142,1128,1268,131,1229,1324,127
"Germany",1040,1076,113,962,989,119,1000,1045,120,589,598,68
"Greece",NA,NA,NA,1094,939,164,1054,970,157,901,770,155
"Hungary",496,266,176,521,311,169,622,371,157,762,438,162
"Iceland",1002,1312,142,1242,1862,146,1256,1341,155,1453,1715,158
"Ireland",974,1149,124,1240,1498,125,1460,1614,148,1419,1736,121
"Italy",1193,1121,158,1160,1187,147,1163,1190,150,1317,1356,163
"Latvia",396,200,168,511,294,153,435,396,140,638,447,141
"Lithuania",374,184,163,509,275,163,512,303,154,596,374,149
"Luxembourg",1261,1291,142,1177,1322,128,1260,1524,131,1446,1741,144
"Macedonia",NA,NA,NA,NA,NA,NA,750,291,163,603,281,176
"Malta",942,680,166,424,681,144,1209,884,167,971,785,132
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,724,402,169
"Netherlands",621,634,79,559,596,78,512,571,67,477,524,60
"Norway",1197,1748,107,1197,1587,98,1147,1695,92,1341,1964,98
"Poland",562,332,188,577,335,167,747,446,158,866,484,167
"Portugal",681,521,150,767,623,169,727,603,154,719,585,147
"Romania",224,92,186,328,164,176,439,217,165,473,251,174
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,835,421,183
"Slovakia",515,224,162,472,322,167,664,445,161,892,605,167
"Slovenia",796,547,157,897,669,177,999,840,167,1121,916,177
"Spain",916,781,158,1048,947,152,1026,965,138,1065,983,135
"Sweden",1173,1467,143,1285,1548,137,1360,1682,135,1455,1827,129
"Switzerland",NA,NA,NA,NA,NA,NA,1190,1706,111,1726,2569,118
"Turkey",NA,NA,NA,604,348,198,NA,NA,NA,778,466,199
"United Kingdom",1182,1357,131,1285,1451,142,941,994,122,982,1193,126
