"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2509,2503,175,2742,2883,170,2655,2931,169,2602,2753,171
"Belgium",2935,2939,172,2659,2882,165,3111,3454,159,2971,3229,162
"Bulgaria",760,308,184,1267,483,173,1670,741,165,1789,856,181
"Croatia",NA,NA,NA,NA,NA,NA,2219,1563,NA,NA,NA,NA
"Cyprus",2359,2161,176,2001,3028,171,4190,3722,180,NA,NA,NA
"Czech Rep.",1425,737,169,1571,955,171,1595,1155,174,1735,1105,171
"Denmark",2469,3180,161,2563,3515,154,2582,3527,152,2823,3928,159
"Estonia",1548,811,182,1803,1152,174,2134,1467,165,1968,1488,181
"Finland",2490,2953,160,2395,2793,161,2712,3240,160,3721,4550,161
"France",2741,2750,152,2756,3054,174,2796,3143,169,3025,3258,172
"Germany",2959,3062,168,2524,2595,159,3465,3619,161,3797,3853,162
"Greece",1440,1202,171,NA,NA,170,NA,NA,NA,1849,1580,167
"Hungary",1330,713,184,1375,821,181,1719,1027,166,2292,1318,169
"Iceland",NA,NA,NA,2799,4196,169,3673,3923,NA,2999,3540,169
"Ireland",2639,3111,154,2421,2926,168,2450,2709,168,1902,2326,111
"Italy",NA,NA,NA,NA,NA,NA,NA,NA,NA,1325,1364,123
"Latvia",1346,679,178,1390,799,171,1097,997,148,1622,1138,164
"Lithuania",1222,602,178,1395,754,170,1655,979,161,1760,1104,175
"Luxembourg",3188,3263,175,NA,NA,NA,2634,3187,164,3960,4769,189
"Macedonia",NA,NA,NA,NA,NA,NA,1775,687,168,1062,494,183
"Malta",1920,1386,173,1025,1646,NA,2264,1655,177,2888,2336,162
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",1957,1996,152,1758,1873,151,1838,2048,144,2123,2331,153
"Norway",2484,3629,162,2805,3719,161,2676,3952,154,2821,4131,152
"Poland",1638,968,185,1417,824,173,1656,990,166,2007,1120,180
"Portugal",2803,2146,167,2015,1637,166,1457,1208,172,1169,952,161
"Romania",1195,491,182,1328,663,176,1829,907,167,1499,796,178
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1479,746,185
"Slovakia",1269,552,172,1227,836,171,1514,1013,166,1595,1082,175
"Slovenia",NA,NA,NA,NA,NA,NA,2144,1804,167,2275,1858,177
"Spain",2641,2251,179,2573,2324,170,3033,2853,172,2389,2205,163
"Sweden",2224,2784,172,2547,3069,171,2476,3063,172,2736,3435,173
"Switzerland",NA,NA,NA,NA,NA,NA,3255,4668,172,3582,5332,172
"Turkey",NA,NA,NA,1378,793,197,1676,1036,198,1837,1099,196
"United Kingdom",2919,3351,164,2928,3305,166,2487,2629,168,2484,3018,171
