"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2353,2348,169,2340,2461,166,2308,2547,159,2486,2631,162
"Belgium",2456,2460,175,2408,2610,168,2591,2877,160,2816,3061,166
"Bulgaria",541,219,180,1015,387,174,1529,679,164,1862,891,180
"Croatia",NA,NA,NA,NA,NA,NA,1810,1275,169,NA,NA,NA
"Cyprus",1874,1717,172,1232,1865,170,2122,1885,171,1942,1750,171
"Czech Rep.",1274,659,166,1504,914,168,1672,1210,169,1860,1185,168
"Denmark",2601,3350,154,2208,3028,136,2382,3252,129,2405,3346,125
"Estonia",1722,902,180,1685,1076,170,1803,1239,163,1968,1488,178
"Finland",2142,2540,159,2306,2689,158,2517,3007,157,2598,3177,155
"France",2917,2927,150,2638,2924,168,2446,2749,157,2619,2821,162
"Germany",2855,2954,160,2587,2660,155,2439,2548,151,2782,2823,154
"Greece",1380,1152,NA,1649,1416,168,1579,1453,162,1474,1259,162
"Hungary",1705,914,184,1794,1071,182,1948,1163,164,1990,1145,168
"Iceland",NA,NA,NA,2789,4181,153,2600,2777,159,2624,3097,156
"Ireland",2513,2963,152,2409,2911,164,2618,2895,160,3117,3812,133
"Italy",NA,NA,NA,1817,1859,180,1904,1948,167,1970,2027,182
"Latvia",1138,574,177,1269,729,168,1094,994,156,1678,1176,166
"Lithuania",990,487,173,1007,544,166,1344,795,154,1335,837,173
"Luxembourg",3132,3205,175,2830,3176,170,2867,3468,168,2850,3432,183
"Macedonia",NA,NA,NA,NA,NA,NA,1653,640,167,1208,562,182
"Malta",1816,1311,166,887,1425,167,2592,1895,177,2238,1810,163
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1742,966,173
"Netherlands",2353,2400,157,1999,2130,144,2025,2256,142,1898,2084,138
"Norway",2862,4181,163,3008,3989,165,2993,4421,158,3231,4732,158
"Poland",1418,838,179,1480,860,172,1664,994,161,1922,1073,178
"Portugal",2014,1542,169,1546,1256,165,1642,1361,167,1562,1272,171
"Romania",905,372,184,1174,586,174,1512,749,166,1581,840,181
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1676,846,183
"Slovakia",1260,548,173,1150,784,170,1698,1136,163,1782,1208,176
"Slovenia",2029,1393,152,1874,1399,176,1996,1679,163,2048,1672,179
"Spain",1948,1660,180,1922,1736,169,2050,1928,169,2101,1940,169
"Sweden",2288,2864,170,2380,2868,168,2446,3025,170,2738,3438,171
"Switzerland",NA,NA,NA,NA,NA,NA,3479,4989,170,3393,5052,167
"Turkey",NA,NA,NA,1412,812,195,1814,1121,193,2002,1197,191
"United Kingdom",3112,3574,160,3229,3644,158,2742,2897,160,2622,3186,160
