"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",241,98,183,320,122,172,392,174,152,NA,NA,NA
"Croatia","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,NA,NA,NA,967,681,166,NA,NA,NA
"Cyprus","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",1192,1093,NA,NA,NA,NA,1517,1348,174,1293,1165,174
"Czech Rep.","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",561,290,165,1047,637,173,893,646,179,988,629,173
"Denmark","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",1965,2531,127,1894,2598,129,2063,2818,121,2020,2811,117
"Estonia","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",488,256,170,NA,NA,NA,1149,790,163,1347,1018,186
"Finland","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,1506,1756,162,1656,1978,162,1802,2204,163
"France","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",1685,1690,145,1662,1842,152,1366,1535,147,1681,1811,152
"Germany","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",1592,1648,149,1508,1550,135,1666,1740,148,1888,1916,155
"Greece","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",959,800,169,NA,NA,171,1054,970,157,1289,1101,163
"Hungary","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",556,298,185,548,327,176,667,399,162,976,561,170
"Iceland","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",1551,1829,140,NA,NA,162,2285,2526,161,1882,2301,123
"Italy","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",1826,1716,177,NA,NA,NA,1534,1570,164,1519,1564,173
"Latvia","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",334,168,166,482,277,167,490,446,149,1066,748,159
"Lithuania","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,160,465,251,175,NA,NA,NA,NA,NA,NA
"Luxembourg","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,NA,NA,NA,1913,2314,168,2036,2452,172
"Macedonia","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,NA,NA,NA,1028,398,171,644,299,184
"Malta","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1561,1263,168
"Montenegro","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",1333,1360,136,1151,1227,129,1374,1530,129,1528,1678,135
"Norway","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",1920,2805,149,2124,2816,147,2369,3499,158,2638,3863,157
"Poland","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",620,367,189,757,440,171,783,468,169,1059,592,182
"Portugal","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,750,609,171,870,721,171,943,768,169
"Romania","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",265,109,190,342,170,175,436,216,154,502,267,182
"Serbia","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1270,641,187
"Slovakia","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,165,516,352,171,680,455,161,821,557,173
"Slovenia","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",874,600,144,1111,829,182,1052,885,157,1305,1065,176
"Spain","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",1195,1019,179,1484,1341,160,1419,1335,160,1605,1482,159
"Sweden","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",1579,1976,168,1774,2138,168,2024,2504,174,2236,2808,166
"Switzerland","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,2860,4258,168
"Turkey","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,807,464,205,942,582,198,831,497,206
"United Kingdom","Business economy","Skilled agricultural, forestry and fishery workers","Total","Total",1619,1859,162,1716,1936,161,1682,1777,170,1559,1894,167
