"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1826,1920,185,1431,1580,154,1503,1591,147
"Belgium",NA,NA,NA,1324,1435,135,1725,1914,150,1953,2123,146
"Bulgaria",265,107,184,389,148,176,490,217,160,594,284,177
"Croatia",NA,NA,NA,NA,NA,NA,1354,953,169,NA,NA,NA
"Cyprus",NA,NA,NA,986,1493,174,1804,1602,196,1637,1475,187
"Czech Rep.",731,378,177,896,545,175,910,658,179,974,620,175
"Denmark",NA,NA,NA,2488,3412,160,2421,3307,138,2264,3150,127
"Estonia",NA,NA,NA,655,418,170,679,467,162,822,621,176
"Finland",NA,NA,NA,1608,1875,164,1511,1805,158,1613,1973,160
"France",NA,NA,NA,1773,1964,150,1199,1348,138,1454,1566,138
"Germany",NA,NA,NA,1763,1813,148,1220,1274,125,1179,1197,112
"Greece",NA,NA,NA,NA,NA,NA,1688,1554,169,1699,1451,166
"Hungary",627,336,188,764,456,181,832,497,171,887,510,170
"Iceland",NA,NA,NA,NA,NA,NA,1609,1718,186,566,668,61
"Ireland",1464,1726,150,1802,2178,157,1810,2001,144,1697,2075,123
"Italy",NA,NA,NA,1836,1879,160,1674,1713,163,1471,1514,163
"Latvia",NA,NA,NA,531,305,175,455,414,162,811,569,171
"Lithuania",463,228,181,636,344,172,NA,NA,NA,746,468,184
"Luxembourg",NA,NA,NA,2196,2465,167,1582,1914,134,2000,2409,165
"Macedonia",NA,NA,NA,NA,NA,NA,999,387,169,873,406,184
"Malta",NA,NA,NA,567,911,172,1907,1394,199,1725,1395,168
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1062,589,188
"Netherlands",1847,1883,150,1633,1741,136,1355,1509,115,1327,1458,116
"Norway",NA,NA,NA,2238,2967,159,1960,2895,139,2137,3129,142
"Poland",784,463,187,893,519,175,880,526,163,1152,643,178
"Portugal",NA,NA,NA,985,800,168,974,807,170,967,787,169
"Romania",366,151,192,528,264,181,568,282,168,688,366,183
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,794,400,183
"Slovakia",520,226,175,532,363,163,805,538,158,908,615,170
"Slovenia",1078,740,163,1272,949,180,1342,1129,169,1346,1099,179
"Spain",1376,1173,174,1537,1388,162,1532,1442,163,1693,1563,165
"Sweden",NA,NA,NA,1811,2182,167,1743,2156,160,2035,2555,164
"Switzerland",NA,NA,NA,NA,NA,NA,2820,4044,159,2053,3056,138
"Turkey",NA,NA,NA,782,450,197,934,577,200,879,525,200
"United Kingdom",1752,2012,163,1955,2206,167,1554,1642,149,1465,1780,145
