"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","Total","Total",NA,NA,NA,1720,1808,171,1430,1578,162,1672,1769,159
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","Total","Total",NA,NA,NA,1462,1585,143,1826,2027,149,2076,2257,144
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","Total","Total",264,107,183,385,147,175,497,221,161,599,287,176
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","Total","Total",NA,NA,NA,NA,NA,NA,1196,842,167,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","Total","Total",NA,NA,NA,942,1425,171,1906,1693,182,1752,1578,177
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","Total","Total",720,372,175,889,541,175,915,662,175,998,636,175
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","Total","Total",NA,NA,NA,2320,3183,155,2522,3444,145,2477,3446,141
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","Total","Total",NA,NA,NA,587,375,165,702,483,160,806,610,169
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","Total","Total",NA,NA,NA,1605,1872,162,1740,2079,160,1840,2250,160
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","Total","Total",NA,NA,NA,1488,1649,143,1475,1658,142,1592,1715,142
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","Total","Total",NA,NA,NA,1896,1949,150,1525,1593,138,1606,1630,132
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","Total","Total",NA,NA,NA,1783,1531,176,1823,1678,175,1709,1460,172
