"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",NA,NA,NA,1802,1894,138,1781,1965,131,2000,2116,131
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",NA,NA,NA,1988,2155,124,2305,2559,129,2362,2567,125
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",331,134,180,505,192,171,749,332,162,843,403,175
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",NA,NA,NA,NA,NA,NA,1523,1073,161,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",NA,NA,NA,1516,2295,155,2946,2617,149,2549,2296,150
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",859,444,165,1054,641,164,1239,897,168,1300,828,165
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",NA,NA,NA,2124,2913,136,2563,3500,138,2520,3506,133
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",NA,NA,NA,747,477,154,961,661,145,1075,813,157
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",NA,NA,NA,1934,2255,158,2208,2638,156,2365,2893,156
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",NA,NA,NA,1934,2143,138,1897,2132,136,2098,2260,138
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",NA,NA,NA,2258,2322,137,2238,2337,133,2379,2414,130
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",NA,NA,NA,2022,1736,156,2014,1853,152,1958,1673,156
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",729,390,185,967,577,175,1060,633,164,1237,712,168
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",NA,NA,NA,1778,2666,147,1608,1717,147,1843,2175,141
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",2213,2609,117,2818,3407,134,2969,3283,134,2762,3377,123
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",NA,NA,NA,2016,2063,124,2347,2402,133,2344,2413,134
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",NA,NA,NA,699,401,158,554,503,146,842,590,157
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",521,256,153,720,389,149,841,497,141,920,577,150
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",NA,NA,NA,2854,3204,147,2892,3498,142,3620,4360,155
"Macedonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",NA,NA,NA,NA,NA,NA,1316,510,167,1155,537,182
"Malta","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",NA,NA,NA,745,1198,149,1821,1332,144,1990,1610,148
"Montenegro","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1214,673,176
"Netherlands","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",1862,1899,115,1631,1739,113,1853,2064,110,1997,2194,110
"Norway","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",NA,NA,NA,2447,3244,135,2318,3424,125,2588,3791,126
"Poland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",871,515,153,1039,604,136,1241,742,131,1551,866,145
"Portugal","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",NA,NA,NA,1794,1458,156,1794,1487,155,1676,1365,160
"Romania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",515,212,187,790,394,177,817,405,167,959,509,181
"Serbia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1072,541,177
"Slovakia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",673,292,173,625,426,161,1008,674,153,1198,812,163
"Slovenia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",1900,1305,164,1923,1435,176,2044,1720,163,2057,1679,175
"Spain","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",1753,1494,156,1880,1698,145,1970,1854,142,1984,1832,141
"Sweden","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",NA,NA,NA,1767,2130,141,1941,2400,144,2267,2846,147
"Switzerland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",NA,NA,NA,NA,NA,NA,2530,3629,123,2900,4316,127
"Turkey","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",NA,NA,NA,1177,677,191,1474,911,189,1663,995,192
"United Kingdom","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","Total","Total",2084,2393,130,2250,2540,129,2169,2292,130,2076,2522,132
