"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Managers","Total","Total",5182,5171,177,5406,5684,171,5326,5877,167,5855,6196,171
"Belgium","Industry and construction","Managers","Total","Total",5015,5022,177,5050,5474,169,5448,6048,162,6037,6562,169
"Bulgaria","Industry and construction","Managers","Total","Total",721,292,183,1024,390,175,1563,694,165,1929,923,180
"Croatia","Industry and construction","Managers","Total","Total",NA,NA,NA,NA,NA,NA,3106,2188,168,NA,NA,NA
"Cyprus","Industry and construction","Managers","Total","Total",3210,2941,167,2320,3512,167,5056,4491,167,4263,3839,169
"Czech Rep.","Industry and construction","Managers","Total","Total",1968,1018,167,2557,1555,168,2796,2023,169,3302,2103,169
"Denmark","Industry and construction","Managers","Total","Total",4034,5195,160,4431,6078,160,5273,7202,160,5642,7850,160
"Estonia","Industry and construction","Managers","Total","Total",1448,758,182,1753,1120,175,2359,1621,167,2561,1937,181
"Finland","Industry and construction","Managers","Total","Total",3523,4178,166,4657,5431,163,5344,6384,163,5727,7004,163
"France","Industry and construction","Managers","Total","Total",4334,4349,149,4862,5388,174,4492,5048,167,5162,5560,176
"Germany","Industry and construction","Managers","Total","Total",4486,4641,167,5872,6037,165,6484,6773,164,7039,7143,168
"Greece","Industry and construction","Managers","Total","Total",3821,3189,181,4508,3870,173,4332,3987,170,4009,3425,170
"Hungary","Industry and construction","Managers","Total","Total",2018,1082,184,2207,1317,181,2900,1732,165,3278,1886,169
"Iceland","Industry and construction","Managers","Total","Total",3550,4648,166,4210,6313,171,4022,4295,170,4912,5797,170
"Ireland","Industry and construction","Managers","Total","Total",4322,5096,159,4311,5211,170,4678,5172,167,4701,5748,167
"Italy","Industry and construction","Managers","Total","Total",5926,5566,174,6278,6423,173,7072,7237,168,7829,8059,182
"Latvia","Industry and construction","Managers","Total","Total",1016,512,180,1298,746,171,978,889,150,1637,1148,163
"Lithuania","Industry and construction","Managers","Total","Total",1214,598,178,1634,883,172,1628,963,161,1960,1229,170
"Luxembourg","Industry and construction","Managers","Total","Total",5186,5307,173,6117,6867,173,5952,7200,168,6847,8246,182
"Macedonia","Industry and construction","Managers","Total","Total",NA,NA,NA,NA,NA,NA,2070,802,168,2062,959,183
"Malta","Industry and construction","Managers","Total","Total",2594,1873,174,1405,2258,173,3485,2548,170,3573,2890,173
"Montenegro","Industry and construction","Managers","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,2363,1311,180
"Netherlands","Industry and construction","Managers","Total","Total",3412,3480,164,3664,3905,163,4865,5420,165,5216,5728,169
"Norway","Industry and construction","Managers","Total","Total",4173,6095,162,4884,6475,161,5372,7933,161,6107,8945,161
"Poland","Industry and construction","Managers","Total","Total",2380,1407,186,2832,1646,173,2884,1723,166,3668,2048,182
"Portugal","Industry and construction","Managers","Total","Total",3486,2669,168,3789,3078,167,3660,3034,170,3494,2846,171
"Romania","Industry and construction","Managers","Total","Total",1209,497,186,1767,882,177,2278,1129,169,2254,1198,184
"Serbia","Industry and construction","Managers","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1851,934,185
"Slovakia","Industry and construction","Managers","Total","Total",1816,789,173,1921,1310,169,2625,1757,161,2993,2029,173
"Slovenia","Industry and construction","Managers","Total","Total",3248,2231,174,3914,2921,176,3993,3359,167,4320,3527,179
"Spain","Industry and construction","Managers","Total","Total",4528,3859,180,4822,4355,171,4557,4287,167,4632,4276,169
"Sweden","Industry and construction","Managers","Total","Total",3597,4502,172,4027,4852,171,4417,5463,173,4983,6257,173
"Switzerland","Industry and construction","Managers","Total","Total",NA,NA,NA,NA,NA,NA,6198,8889,174,6090,9066,174
"Turkey","Industry and construction","Managers","Total","Total",NA,NA,NA,2522,1450,197,2624,1621,196,4027,2408,195
"United Kingdom","Industry and construction","Managers","Total","Total",4488,5154,167,4957,5594,167,4620,4883,169,4430,5382,169
