"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2773,2767,167,2914,3064,163,3037,3352,159,3386,3583,164
"Belgium",2997,3001,173,3076,3335,165,3338,3706,158,3761,4088,167
"Bulgaria",469,190,182,671,256,174,949,421,164,1178,564,180
"Croatia",NA,NA,NA,NA,NA,NA,1727,1216,169,NA,NA,NA
"Cyprus",1763,1616,167,1200,1816,169,2337,2076,168,2010,1810,168
"Czech Rep.",1162,601,168,1552,944,168,1649,1193,169,1911,1217,169
"Denmark",2895,3729,154,3248,4455,155,3794,5182,153,3968,5521,153
"Estonia",1046,548,180,1294,827,172,1568,1077,165,1849,1398,180
"Finland",2269,2691,165,2806,3273,163,3200,3824,162,3401,4160,164
"France",2735,2744,147,3011,3337,161,2881,3238,157,3251,3501,160
"Germany",3105,3213,156,3349,3443,153,3504,3661,152,3865,3922,156
"Greece",1987,1658,180,2115,1816,175,2297,2114,169,2109,1802,168
"Hungary",1300,697,184,1483,885,181,1639,979,166,2091,1203,170
"Iceland",2036,2666,144,2383,3573,145,2769,2958,165,3219,3799,163
"Ireland",2817,3322,156,3360,4061,170,3639,4024,164,3788,4631,168
"Italy",2344,2201,176,2406,2462,172,2594,2654,166,2824,2907,180
"Latvia",727,367,175,961,552,168,771,700,150,1278,896,164
"Lithuania",880,433,175,1146,619,168,1173,693,159,1409,884,170
"Luxembourg",3190,3265,171,3447,3869,168,3605,4361,163,3667,4416,178
"Macedonia",NA,NA,NA,NA,NA,NA,1406,544,169,1347,627,182
"Malta",1805,1303,183,902,1449,178,2376,1738,184,2339,1892,177
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1678,931,182
"Netherlands",2785,2840,155,2731,2911,152,3056,3404,154,3392,3725,158
"Norway",3024,4417,158,3670,4866,158,4093,6045,159,4591,6724,160
"Poland",1320,780,186,1570,912,173,1767,1056,167,2282,1274,183
"Portugal",1561,1195,168,1743,1416,170,1857,1539,170,1862,1517,171
"Romania",657,270,187,930,464,176,1305,647,167,1375,731,183
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1390,701,185
"Slovakia",1013,440,173,1078,734,168,1531,1024,161,1810,1227,174
"Slovenia",1877,1289,171,2112,1576,177,2265,1906,167,2606,2128,179
"Spain",2387,2035,179,2399,2166,167,2504,2356,166,2711,2503,167
"Sweden",2410,3016,168,2843,3426,168,3098,3832,171,3550,4457,172
"Switzerland",NA,NA,NA,NA,NA,NA,3647,5230,166,4278,6369,165
"Turkey",NA,NA,NA,1375,791,199,1577,974,199,1749,1046,199
"United Kingdom",3381,3882,162,3718,4196,164,3305,3493,165,3272,3975,166
