"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Professionals","Total","Total",4011,4002,174,3930,4132,171,3748,4136,164,4145,4386,170
"Belgium","Industry and construction","Professionals","Total","Total",3543,3548,175,3685,3994,169,3954,4390,161,4204,4570,169
"Bulgaria","Industry and construction","Professionals","Total","Total",511,207,182,819,312,174,1179,523,163,1408,674,178
"Croatia","Industry and construction","Professionals","Total","Total",NA,NA,NA,NA,NA,NA,2341,1649,169,NA,NA,NA
"Cyprus","Industry and construction","Professionals","Total","Total",2442,2237,168,1732,2622,170,3045,2705,168,2692,2424,167
"Czech Rep.","Industry and construction","Professionals","Total","Total",1351,699,167,1738,1057,168,1941,1405,168,2273,1448,168
"Denmark","Industry and construction","Professionals","Total","Total",3527,4542,161,3906,5357,160,4583,6260,159,4684,6518,159
"Estonia","Industry and construction","Professionals","Total","Total",1088,570,179,1370,875,169,1708,1174,163,2100,1588,179
"Finland","Industry and construction","Professionals","Total","Total",2794,3313,165,3141,3663,162,3509,4192,162,3712,4540,165
"France","Industry and construction","Professionals","Total","Total",3845,3858,148,4049,4487,182,3958,4448,169,4381,4718,179
"Germany","Industry and construction","Professionals","Total","Total",4362,4514,166,4669,4800,163,4778,4991,162,5213,5291,163
"Greece","Industry and construction","Professionals","Total","Total",2699,2253,183,3052,2619,177,2874,2645,169,2541,2171,168
"Hungary","Industry and construction","Professionals","Total","Total",1666,893,183,2061,1230,181,2430,1451,165,2607,1500,170
"Iceland","Industry and construction","Professionals","Total","Total",3193,4181,169,3461,5189,166,3290,3514,167,3938,4648,169
"Ireland","Industry and construction","Professionals","Total","Total",3463,4083,161,3916,4734,174,4026,4451,166,4433,5420,170
"Italy","Industry and construction","Professionals","Total","Total",5714,5367,165,3111,3183,174,3426,3505,168,3368,3466,182
"Latvia","Industry and construction","Professionals","Total","Total",826,417,174,1034,594,166,842,765,149,1408,987,163
"Lithuania","Industry and construction","Professionals","Total","Total",846,417,172,990,535,164,1093,646,153,1355,850,168
"Luxembourg","Industry and construction","Professionals","Total","Total",3884,3975,175,3806,4273,171,4132,4998,166,4614,5556,177
"Macedonia","Industry and construction","Professionals","Total","Total",NA,NA,NA,NA,NA,NA,1768,685,169,1541,717,182
"Malta","Industry and construction","Professionals","Total","Total",1713,1237,159,1043,1677,168,2700,1975,177,2728,2206,175
"Montenegro","Industry and construction","Professionals","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,2191,1216,180
"Netherlands","Industry and construction","Professionals","Total","Total",3354,3421,158,3254,3468,157,3575,3982,159,3736,4103,163
"Norway","Industry and construction","Professionals","Total","Total",3624,5293,163,4304,5706,162,4613,6812,162,5110,7484,162
"Poland","Industry and construction","Professionals","Total","Total",1548,915,186,1646,957,172,1821,1088,167,2370,1324,182
"Portugal","Industry and construction","Professionals","Total","Total",2289,1753,159,2375,1929,166,2466,2044,164,2516,2049,167
"Romania","Industry and construction","Professionals","Total","Total",705,290,186,993,496,175,1402,695,164,1499,796,181
"Serbia","Industry and construction","Professionals","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1882,950,185
"Slovakia","Industry and construction","Professionals","Total","Total",1147,498,173,1181,805,168,1811,1212,160,2039,1382,174
"Slovenia","Industry and construction","Professionals","Total","Total",2684,1843,167,2846,2124,176,2688,2261,167,3087,2521,180
"Spain","Industry and construction","Professionals","Total","Total",3061,2609,179,2886,2607,168,3018,2839,168,3190,2945,168
"Sweden","Industry and construction","Professionals","Total","Total",2781,3481,168,3161,3809,169,3413,4221,172,3843,4826,173
"Switzerland","Industry and construction","Professionals","Total","Total",NA,NA,NA,NA,NA,NA,4703,6745,172,4825,7184,169
"Turkey","Industry and construction","Professionals","Total","Total",NA,NA,NA,1773,1020,195,2070,1279,194,2444,1461,191
"United Kingdom","Industry and construction","Professionals","Total","Total",3664,4207,165,3760,4244,167,3561,3763,167,3617,4394,167
