"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",221,89,184,279,106,168,375,167,151,426,204,177
"Croatia","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",513,265,164,1220,742,170,1040,752,172,970,618,172
"Denmark","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",1996,2571,118,1953,2679,125,2430,3319,136,2332,3245,125
"Estonia","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,1556,1815,161,1703,2035,163,1640,2006,157
"France","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",1899,1906,149,1661,1840,154,1240,1394,155,1120,1207,157
"Germany","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",1850,1914,150,1785,1835,128,2051,2142,145,2182,2214,139
"Greece","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",1115,930,173,NA,NA,NA,NA,NA,NA,1683,1438,171
"Hungary","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",609,327,187,530,316,180,671,401,164,1063,612,168
"Iceland","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",1650,1946,148,NA,NA,NA,2273,2513,161,NA,NA,NA
"Italy","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",1772,1665,179,NA,NA,NA,1676,1715,167,1609,1657,180
"Latvia","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",329,166,168,451,259,169,539,490,151,726,509,168
"Lithuania","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",312,154,NA,632,341,177,NA,NA,NA,NA,NA,NA
"Luxembourg","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,NA,NA,NA,872,338,NA,NA,NA,NA
"Malta","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",1442,1471,152,1309,1395,149,1474,1642,146,1632,1792,147
"Norway","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",2132,3114,162,2378,3152,157,2573,3799,162,2930,4291,169
"Poland","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",613,363,187,730,424,171,933,557,171,1153,644,184
"Portugal","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,738,600,169,890,738,173,937,763,160
"Romania","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",272,112,191,338,169,176,389,193,143,477,254,181
"Serbia","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",478,208,NA,542,369,172,859,574,162,1045,708,172
"Slovenia","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,1055,787,178,1032,868,159,1238,1011,176
"Spain","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",1127,961,178,1373,1240,159,1482,1394,164,1630,1504,163
"Sweden","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",1596,1997,169,1890,2277,172,2059,2547,176,NA,NA,NA
"Switzerland","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,2733,4068,148
"Turkey","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",NA,NA,NA,913,525,211,NA,NA,NA,845,505,210
"United Kingdom","Industry and construction","Skilled agricultural, forestry and fishery workers","Total","Total",2012,2310,171,1885,2127,160,1976,2088,177,1629,1979,168
