"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Technicians and associate professionals","Total","Total",3039,3032,177,3125,3285,173,3098,3419,166,3400,3597,172
"Belgium","Industry and construction","Technicians and associate professionals","Total","Total",2891,2895,178,2925,3170,168,3098,3439,161,3271,3555,168
"Bulgaria","Industry and construction","Technicians and associate professionals","Total","Total",457,185,182,663,253,175,961,426,165,1145,548,181
"Croatia","Industry and construction","Technicians and associate professionals","Total","Total",NA,NA,NA,NA,NA,NA,1627,1146,170,NA,NA,NA
"Cyprus","Industry and construction","Technicians and associate professionals","Total","Total",1713,1570,167,1227,1857,169,2546,2262,169,2251,2028,169
"Czech Rep.","Industry and construction","Technicians and associate professionals","Total","Total",1020,527,168,1347,819,169,1445,1046,169,1693,1078,170
"Denmark","Industry and construction","Technicians and associate professionals","Total","Total",2778,3578,158,3025,4149,158,3462,4727,157,3618,5034,157
"Estonia","Industry and construction","Technicians and associate professionals","Total","Total",877,459,178,1103,705,171,1364,938,166,1624,1228,181
"Finland","Industry and construction","Technicians and associate professionals","Total","Total",2102,2493,166,2400,2799,163,2698,3224,163,2949,3607,166
"France","Industry and construction","Technicians and associate professionals","Total","Total",2148,2155,148,2403,2663,152,2380,2675,152,2671,2876,153
"Germany","Industry and construction","Technicians and associate professionals","Total","Total",3275,3389,162,3493,3591,159,3820,3990,159,3964,4022,162
"Greece","Industry and construction","Technicians and associate professionals","Total","Total",1934,1614,191,2043,1754,176,2284,2102,173,2197,1877,172
"Hungary","Industry and construction","Technicians and associate professionals","Total","Total",1092,585,184,1215,725,181,1268,757,168,1637,942,172
"Iceland","Industry and construction","Technicians and associate professionals","Total","Total",2482,3251,175,2682,4021,176,2451,2618,174,2975,3511,173
"Ireland","Industry and construction","Technicians and associate professionals","Total","Total",2813,3317,163,3228,3902,176,3522,3894,167,3654,4468,169
"Italy","Industry and construction","Technicians and associate professionals","Total","Total",2617,2458,181,2475,2532,174,2551,2611,169,2717,2796,183
"Latvia","Industry and construction","Technicians and associate professionals","Total","Total",680,343,177,838,482,166,700,636,151,1119,785,164
"Lithuania","Industry and construction","Technicians and associate professionals","Total","Total",658,324,172,902,487,168,1029,608,162,1142,716,169
"Luxembourg","Industry and construction","Technicians and associate professionals","Total","Total",3215,3290,176,3381,3795,172,3234,3912,167,3590,4324,182
"Macedonia","Industry and construction","Technicians and associate professionals","Total","Total",NA,NA,NA,NA,NA,NA,1280,496,170,1253,583,183
"Malta","Industry and construction","Technicians and associate professionals","Total","Total",1902,1373,198,816,1312,185,2270,1660,191,2251,1821,183
"Montenegro","Industry and construction","Technicians and associate professionals","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1729,959,184
"Netherlands","Industry and construction","Technicians and associate professionals","Total","Total",2495,2545,156,2574,2743,155,3026,3371,162,3345,3674,162
"Norway","Industry and construction","Technicians and associate professionals","Total","Total",2934,4286,162,3545,4700,162,3937,5815,163,4349,6369,163
"Poland","Industry and construction","Technicians and associate professionals","Total","Total",1137,672,187,1295,753,173,1502,898,168,1927,1076,184
"Portugal","Industry and construction","Technicians and associate professionals","Total","Total",1642,1257,170,1745,1418,171,1769,1467,173,1767,1439,173
"Romania","Industry and construction","Technicians and associate professionals","Total","Total",566,233,188,772,385,177,1054,522,169,1152,612,184
"Serbia","Industry and construction","Technicians and associate professionals","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1363,688,187
"Slovakia","Industry and construction","Technicians and associate professionals","Total","Total",902,392,172,925,630,168,1371,917,161,1607,1090,174
"Slovenia","Industry and construction","Technicians and associate professionals","Total","Total",1735,1191,173,1868,1394,178,1975,1661,167,2274,1857,180
"Spain","Industry and construction","Technicians and associate professionals","Total","Total",2351,2004,181,2325,2100,168,2443,2298,167,2673,2467,168
"Sweden","Industry and construction","Technicians and associate professionals","Total","Total",2221,2780,170,2614,3150,170,2848,3522,172,3232,4058,173
"Switzerland","Industry and construction","Technicians and associate professionals","Total","Total",NA,NA,NA,NA,NA,NA,3825,5486,173,4041,6016,171
"Turkey","Industry and construction","Technicians and associate professionals","Total","Total",NA,NA,NA,1248,718,200,1553,959,202,1550,927,202
"United Kingdom","Industry and construction","Technicians and associate professionals","Total","Total",2882,3309,165,2981,3364,166,2888,3052,171,2765,3359,171
