"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Total","Total","Total",2190,2185,174,2272,2389,169,2360,2604,164,2739,2898,169
"Belgium","Industry and construction","Total","Total","Total",2444,2447,175,2451,2657,165,2686,2982,159,3053,3318,167
"Bulgaria","Industry and construction","Total","Total","Total",360,146,183,491,187,175,700,311,164,824,394,181
"Croatia","Industry and construction","Total","Total","Total",NA,NA,NA,NA,NA,NA,1266,892,170,NA,NA,NA
"Cyprus","Industry and construction","Total","Total","Total",1470,1347,172,1103,1669,172,1997,1774,174,1729,1558,170
"Czech Rep.","Industry and construction","Total","Total","Total",878,454,169,1147,697,171,1229,890,172,1431,912,171
"Denmark","Industry and construction","Total","Total","Total",2381,3066,143,2533,3474,140,2998,4095,138,3179,4424,141
"Estonia","Industry and construction","Total","Total","Total",754,395,183,980,626,174,1184,813,168,1443,1091,182
"Finland","Industry and construction","Total","Total","Total",1957,2321,167,2356,2748,166,2667,3186,165,2863,3502,166
"France","Industry and construction","Total","Total","Total",2068,2075,146,2237,2479,156,2250,2528,153,2598,2797,156
"Germany","Industry and construction","Total","Total","Total",2527,2615,160,2685,2760,157,2780,2904,156,3175,3223,157
"Greece","Industry and construction","Total","Total","Total",1604,1339,180,1820,1562,178,2037,1875,171,1845,1576,170
"Hungary","Industry and construction","Total","Total","Total",856,459,185,1004,600,182,1202,718,166,1333,767,172
"Iceland","Industry and construction","Total","Total","Total",1801,2359,177,2037,3054,176,2081,2223,174,2490,2939,179
"Ireland","Industry and construction","Total","Total","Total",2316,2730,160,2862,3460,173,3164,3498,165,3213,3929,168
"Italy","Industry and construction","Total","Total","Total",1875,1762,178,1943,1988,173,2136,2186,168,2413,2484,182
"Latvia","Industry and construction","Total","Total","Total",565,285,176,746,429,170,594,540,152,1010,708,163
"Lithuania","Industry and construction","Total","Total","Total",647,318,176,900,486,171,910,538,161,1085,681,176
"Luxembourg","Industry and construction","Total","Total","Total",2516,2575,179,2519,2827,173,2596,3140,170,2877,3465,184
"Macedonia","Industry and construction","Total","Total","Total",NA,NA,NA,NA,NA,NA,1029,398,169,995,463,182
"Malta","Industry and construction","Total","Total","Total",1565,1130,191,754,1212,185,2020,1477,190,1935,1565,179
"Montenegro","Industry and construction","Total","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1395,774,182
"Netherlands","Industry and construction","Total","Total","Total",2345,2392,157,2254,2402,153,2640,2941,157,2888,3171,158
"Norway","Industry and construction","Total","Total","Total",2510,3666,161,3030,4018,162,3324,4909,161,3720,5449,161
"Poland","Industry and construction","Total","Total","Total",974,576,188,1145,666,177,1320,789,170,1721,961,185
"Portugal","Industry and construction","Total","Total","Total",987,756,170,1087,883,173,1229,1019,173,1256,1023,173
"Romania","Industry and construction","Total","Total","Total",445,183,189,596,297,179,851,422,171,903,480,186
"Serbia","Industry and construction","Total","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1089,549,186
"Slovakia","Industry and construction","Total","Total","Total",777,338,172,779,531,171,1130,756,164,1363,924,174
"Slovenia","Industry and construction","Total","Total","Total",1287,884,170,1434,1071,179,1580,1329,166,1862,1520,179
"Spain","Industry and construction","Total","Total","Total",1760,1500,181,1840,1662,169,2021,1902,167,2206,2036,167
"Sweden","Industry and construction","Total","Total","Total",1993,2495,169,2368,2853,169,2626,3249,171,3056,3837,172
"Switzerland","Industry and construction","Total","Total","Total",NA,NA,NA,NA,NA,NA,3097,4441,170,3731,5554,169
"Turkey","Industry and construction","Total","Total","Total",NA,NA,NA,979,563,201,1120,692,202,1148,686,202
"United Kingdom","Industry and construction","Total","Total","Total",2729,3133,173,3041,3432,174,2800,2959,174,2762,3356,173
