"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,2119,2228,183,2125,2345,175,2380,2519,179
"Belgium",NA,NA,NA,2134,2313,163,2279,2530,157,2493,2710,162
"Bulgaria",345,140,183,467,178,176,634,281,166,698,334,182
"Croatia",NA,NA,NA,NA,NA,NA,1163,819,171,NA,NA,NA
"Cyprus",NA,NA,NA,1067,1616,180,1796,1595,179,1590,1432,175
"Czech Rep.",796,411,172,973,591,173,1027,744,173,1147,731,172
"Denmark",NA,NA,NA,2203,3022,136,2590,3537,133,2561,3563,134
"Estonia",NA,NA,NA,872,557,178,1007,692,170,1242,939,185
"Finland",NA,NA,NA,2081,2427,168,2350,2808,167,2490,3045,166
"France",NA,NA,NA,1771,1963,155,1739,1955,154,1962,2113,153
"Germany",NA,NA,NA,2266,2329,162,2184,2281,159,2304,2338,156
"Greece",NA,NA,NA,1859,1595,181,1939,1784,175,1741,1487,171
"Hungary",741,397,187,850,507,184,1007,601,169,1073,617,176
"Iceland",NA,NA,NA,2092,3137,201,1862,1989,185,2230,2632,187
"Ireland",1833,2161,166,2300,2780,174,2546,2815,166,2513,3073,160
"Italy",NA,NA,NA,1881,1924,176,1923,1968,170,1991,2050,181
"Latvia",NA,NA,NA,658,378,174,580,527,157,898,630,161
"Lithuania",557,274,177,738,399,172,803,475,165,959,601,182
"Luxembourg",NA,NA,NA,2337,2623,176,2319,2805,172,2510,3023,182
"Macedonia",NA,NA,NA,NA,NA,NA,839,325,167,753,350,181
"Malta",NA,NA,NA,701,1127,188,1795,1313,190,1691,1368,178
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1088,603,180
"Netherlands",2102,2144,164,1905,2030,157,2053,2287,158,1922,2110,144
"Norway",NA,NA,NA,2601,3448,161,2661,3931,158,2945,4313,155
"Poland",875,517,188,979,569,179,1171,700,173,1442,805,187
"Portugal",NA,NA,NA,1029,836,175,1008,836,175,1033,842,175
"Romania",411,169,190,537,268,180,765,379,173,790,420,186
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,991,500,185
"Slovakia",705,307,172,667,454,171,934,625,165,1083,734,173
"Slovenia",1051,722,169,1179,880,179,1282,1079,166,1499,1224,178
"Spain",1588,1353,182,1659,1498,169,1723,1621,165,1887,1742,165
"Sweden",1689,2114,168,2024,2439,169,2204,2726,169,2545,3195,171
"Switzerland",NA,NA,NA,NA,NA,NA,2806,4024,172,3157,4699,171
"Turkey",NA,NA,NA,842,484,204,902,557,204,941,563,202
"United Kingdom",2107,2419,185,2293,2588,184,2051,2168,182,2064,2507,183
