"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",240,97,183,315,120,172,397,176,153,1670,799,182
"Croatia",NA,NA,NA,NA,NA,NA,968,682,166,NA,NA,NA
"Cyprus",NA,NA,NA,771,1167,170,1529,1358,174,1299,1170,174
"Czech Rep.",582,301,168,919,559,172,883,639,178,964,614,173
"Denmark",NA,NA,NA,1999,2741,141,2211,3020,132,2115,2943,127
"Estonia",NA,NA,NA,689,440,173,1006,691,161,925,700,161
"Finland",NA,NA,NA,1496,1745,162,1668,1992,162,1784,2182,162
"France",NA,NA,NA,1388,1538,135,1337,1503,144,1603,1727,147
"Germany",NA,NA,NA,1574,1618,140,1647,1720,146,1905,1933,150
"Greece",NA,NA,NA,1293,1110,168,1290,1187,159,1311,1120,164
"Hungary",534,286,184,563,336,177,681,407,161,915,526,168
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",1551,1829,143,1909,2308,164,2228,2463,152,1932,2363,122
"Italy",NA,NA,NA,1565,1601,166,1535,1570,163,1519,1564,173
"Latvia",NA,NA,NA,464,267,166,456,415,150,927,650,158
"Lithuania",366,180,169,459,248,173,502,297,141,NA,NA,NA
"Luxembourg",NA,NA,NA,NA,NA,NA,1983,2399,162,2055,2475,175
"Macedonia",NA,NA,NA,NA,NA,NA,1004,389,171,698,325,184
"Malta",NA,NA,NA,545,876,175,1645,1203,175,1592,1288,165
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",1306,1332,132,1159,1235,127,1338,1491,125,1535,1686,133
"Norway",NA,NA,NA,2055,2725,145,2279,3366,153,2576,3773,154
"Poland",643,380,189,791,460,171,801,479,168,1071,598,181
"Portugal",NA,NA,NA,762,619,171,858,711,172,955,778,170
"Romania",265,109,190,352,176,176,434,215,155,502,267,183
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1202,607,187
"Slovakia",447,194,174,471,321,168,681,456,161,808,548,172
"Slovenia",889,611,147,1119,835,183,1141,960,159,1315,1074,176
"Spain",1261,1074,179,1431,1292,160,1412,1328,160,1532,1414,157
"Sweden",1579,1976,168,1643,1980,163,1787,2211,163,2154,2704,165
"Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,2824,4204,164
"Turkey",NA,NA,NA,806,464,204,950,587,198,844,505,206
"United Kingdom",1691,1942,166,1765,1991,162,1677,1772,162,1597,1940,161
