"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",NA,NA,NA,2020,2124,157,2073,2288,152,2357,2494,153
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",NA,NA,NA,2249,2438,148,2477,2749,145,2719,2956,148
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",353,143,181,507,193,172,748,332,161,877,420,178
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",NA,NA,NA,NA,NA,NA,1392,980,168,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",NA,NA,NA,1199,1815,168,2230,1980,167,1996,1798,165
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",912,472,169,1174,714,169,1274,922,170,1427,909,169
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",NA,NA,NA,2233,3062,132,2666,3642,133,2652,3690,128
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",NA,NA,NA,938,599,167,1131,777,159,1321,999,172
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",NA,NA,NA,2114,2466,158,2384,2848,157,2530,3094,157
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",NA,NA,NA,2113,2342,148,2136,2400,146,2417,2603,147
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",NA,NA,NA,2390,2457,146,2413,2520,143,2582,2620,139
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",NA,NA,NA,1821,1563,168,1895,1744,161,1769,1511,160
"Hungary","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",842,451,184,1018,608,178,1221,729,164,1345,774,169
"Iceland","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",NA,NA,NA,1928,2891,156,1869,1996,157,2148,2535,153
"Ireland","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",2162,2549,137,2599,3142,153,2961,3274,150,2731,3340,138
"Italy","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",NA,NA,NA,1984,2030,156,2143,2193,155,2270,2337,162
"Latvia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",NA,NA,NA,751,431,166,630,573,150,987,692,159
"Lithuania","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",608,299,167,816,441,163,887,525,153,1020,640,166
"Luxembourg","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",NA,NA,NA,2773,3112,162,2894,3501,159,3249,3913,171
"Macedonia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",NA,NA,NA,NA,NA,NA,1226,475,167,1053,490,181
"Malta","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",NA,NA,NA,751,1206,164,1880,1375,162,1936,1566,158
"Montenegro","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1292,717,177
"Netherlands","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",1995,2035,132,1799,1917,126,2048,2281,125,2183,2398,125
"Norway","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",NA,NA,NA,2674,3546,145,2700,3987,138,3006,4403,138
"Poland","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",969,573,178,1115,648,164,1327,793,158,1698,948,173
"Portugal","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",NA,NA,NA,1397,1135,167,1486,1231,163,1484,1209,164
"Romania","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",475,195,188,665,332,178,895,444,168,963,512,182
"Serbia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1125,567,183
"Slovakia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",775,337,171,761,519,168,1132,758,160,1339,908,170
"Slovenia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",1471,1010,168,1605,1198,178,1747,1470,165,1923,1571,177
"Spain","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",1730,1475,171,1768,1597,160,1887,1775,156,1981,1829,154
"Sweden","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",1956,2449,162,2083,2510,154,2271,2809,155,2617,3286,156
"Switzerland","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",NA,NA,NA,NA,NA,NA,2867,4112,149,3428,5103,149
"Turkey","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",NA,NA,NA,1058,609,199,1218,753,199,1257,752,198
"United Kingdom","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Total",2335,2681,146,2563,2893,147,2369,2504,144,2301,2795,146
