"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Services of the business economy","Managers","Total","Total",5221,5209,174,5424,5703,170,5142,5675,168,5682,6012,171
"Belgium","Services of the business economy","Managers","Total","Total",4895,4901,172,5030,5453,163,5294,5877,156,5920,6435,166
"Bulgaria","Services of the business economy","Managers","Total","Total",899,364,183,1568,598,173,2167,962,164,2574,1232,180
"Croatia","Services of the business economy","Managers","Total","Total",NA,NA,NA,NA,NA,NA,3373,2376,167,NA,NA,NA
"Cyprus","Services of the business economy","Managers","Total","Total",3684,3376,169,3004,4547,168,5876,5220,169,5034,4534,170
"Czech Rep.","Services of the business economy","Managers","Total","Total",1891,978,169,2477,1506,170,3018,2184,171,3546,2259,170
"Denmark","Services of the business economy","Managers","Total","Total",4023,5181,160,4502,6175,159,5099,6964,159,5652,7864,160
"Estonia","Services of the business economy","Managers","Total","Total",1601,839,181,2061,1316,174,2626,1804,165,2746,2076,180
"Finland","Services of the business economy","Managers","Total","Total",3574,4239,162,4305,5021,161,5132,6131,161,5754,7037,162
"France","Services of the business economy","Managers","Total","Total",3945,3958,149,4127,4574,170,4303,4835,165,4762,5129,169
"Germany","Services of the business economy","Managers","Total","Total",4731,4895,167,5687,5847,164,6626,6921,164,7608,7721,167
"Greece","Services of the business economy","Managers","Total","Total",2772,2313,170,3780,3245,173,3348,3081,168,3894,3327,169
"Hungary","Services of the business economy","Managers","Total","Total",1875,1005,183,2188,1306,179,2855,1705,165,3109,1789,169
"Iceland","Services of the business economy","Managers","Total","Total",3335,4366,163,4306,6456,170,3834,4095,169,5295,6249,171
"Ireland","Services of the business economy","Managers","Total","Total",3909,4608,155,3820,4617,167,4439,4908,163,3450,4219,136
"Italy","Services of the business economy","Managers","Total","Total",6297,5915,170,5510,5638,170,5394,5520,161,6368,6555,174
"Latvia","Services of the business economy","Managers","Total","Total",1177,594,177,1475,847,169,1269,1153,151,2037,1429,163
"Lithuania","Services of the business economy","Managers","Total","Total",1333,656,176,1544,834,169,1699,1005,159,2037,1278,169
"Luxembourg","Services of the business economy","Managers","Total","Total",5907,6045,172,6608,7418,170,7164,8665,167,7033,8470,179
"Macedonia","Services of the business economy","Managers","Total","Total",NA,NA,NA,NA,NA,NA,2662,1031,168,2242,1043,183
"Malta","Services of the business economy","Managers","Total","Total",2676,1933,173,1341,2155,170,3376,2469,171,3849,3114,168
"Montenegro","Services of the business economy","Managers","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,3431,1903,178
"Netherlands","Services of the business economy","Managers","Total","Total",3391,3459,159,3507,3737,155,4043,4504,156,4765,5233,164
"Norway","Services of the business economy","Managers","Total","Total",3911,5713,161,4538,6017,160,4708,6953,159,5186,7596,159
"Poland","Services of the business economy","Managers","Total","Total",2464,1457,185,2574,1496,172,3017,1803,164,3765,2102,179
"Portugal","Services of the business economy","Managers","Total","Total",4386,3358,167,4001,3251,162,4426,3669,164,4407,3590,164
"Romania","Services of the business economy","Managers","Total","Total",1275,525,184,1893,945,176,2513,1245,166,2445,1299,181
"Serbia","Services of the business economy","Managers","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,2298,1159,184
"Slovakia","Services of the business economy","Managers","Total","Total",1630,709,173,1936,1320,170,2540,1700,161,2909,1972,173
"Slovenia","Services of the business economy","Managers","Total","Total",3160,2170,164,4121,3076,174,4126,3471,166,4274,3490,177
"Spain","Services of the business economy","Managers","Total","Total",4582,3905,178,4308,3890,169,4309,4054,167,4155,3835,168
"Sweden","Services of the business economy","Managers","Total","Total",3678,4602,170,4190,5049,170,4371,5406,170,5126,6436,172
"Switzerland","Services of the business economy","Managers","Total","Total",NA,NA,NA,NA,NA,NA,7123,10216,174,6290,9364,172
"Turkey","Services of the business economy","Managers","Total","Total",NA,NA,NA,2788,1603,194,3285,2030,194,3715,2222,194
"United Kingdom","Services of the business economy","Managers","Total","Total",4475,5138,163,4738,5348,164,4514,4771,164,4388,5331,164
