"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",3711,3703,169,3282,3451,160,3354,3702,160,3664,3877,162
"Belgium",3369,3374,173,3554,3852,165,3689,4096,156,4055,4408,164
"Bulgaria",653,265,182,1059,404,173,1568,696,164,1890,904,180
"Croatia",NA,NA,NA,NA,NA,NA,2597,1829,168,NA,NA,NA
"Cyprus",2352,2155,172,1933,2926,168,3215,2856,169,3050,2747,170
"Czech Rep.",1402,725,166,1918,1166,168,2139,1548,168,2525,1608,168
"Denmark",3515,4527,160,3702,5078,153,3875,5292,147,4042,5624,146
"Estonia",1431,749,176,1751,1119,168,1993,1369,162,2247,1699,176
"Finland",2680,3178,161,3030,3534,160,3341,3992,159,3676,4496,160
"France",3682,3695,149,3595,3985,167,3576,4018,161,3933,4235,161
"Germany",3986,4124,165,4205,4323,161,4123,4307,159,4506,4573,159
"Greece",NA,NA,NA,2553,2191,170,2560,2356,165,2583,2206,167
"Hungary",1905,1021,183,2269,1355,179,2623,1567,164,2633,1515,168
"Iceland",2562,3355,147,3363,5043,168,3136,3349,164,3729,4401,163
"Ireland",3274,3860,152,3504,4235,165,4084,4516,161,4210,5147,149
"Italy",5290,4969,163,2817,2882,170,3355,3433,164,3333,3431,176
"Latvia",975,492,173,1218,700,164,1079,981,153,1824,1279,161
"Lithuania",921,454,170,1021,552,163,1257,744,152,1460,916,170
"Luxembourg",4241,4340,172,4128,4634,169,4097,4956,165,4133,4977,177
"Macedonia",NA,NA,NA,NA,NA,NA,1995,773,168,1646,766,181
"Malta",2172,1568,169,1076,1728,164,2701,1975,168,2711,2193,166
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,2430,1348,178
"Netherlands",3067,3128,155,3138,3345,148,3265,3637,149,3351,3680,151
"Norway",3489,5096,161,3981,5278,162,3972,5865,159,4402,6447,158
"Poland",1653,977,174,1784,1037,169,2023,1209,160,2472,1380,177
"Portugal",2609,1998,168,2587,2102,166,2619,2171,164,2559,2084,166
"Romania",966,398,183,1295,647,173,1661,823,164,1833,974,180
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1976,997,184
"Slovakia",1397,607,172,1368,933,168,2030,1358,161,2240,1519,174
"Slovenia",2963,2035,166,2884,2152,176,2872,2416,164,3017,2464,177
"Spain",3082,2626,178,2685,2425,167,2793,2628,167,3011,2779,167
"Sweden",2890,3617,167,3212,3870,167,3284,4063,168,3781,4748,170
"Switzerland",NA,NA,NA,NA,NA,NA,5184,7435,169,4742,7060,164
"Turkey",NA,NA,NA,1990,1144,194,2394,1479,190,2765,1654,189
"United Kingdom",3967,4555,158,4191,4730,157,3748,3961,158,3503,4256,158
