"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",255,103,182,380,145,176,407,180,154,NA,NA,NA
"Croatia",NA,NA,NA,NA,NA,NA,1123,791,169,NA,NA,NA
"Cyprus",NA,NA,170,NA,NA,NA,NA,NA,175,1293,1165,174
"Czech Rep.",569,294,166,759,461,177,848,614,181,996,635,173
"Denmark",1936,2494,136,1858,2548,132,1957,2673,117,1951,2714,115
"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland",NA,NA,NA,1465,1708,162,1638,1957,162,1852,2265,165
"France",1435,1439,141,1662,1842,151,1376,1546,147,1767,1902,151
"Germany",1470,1521,148,1438,1478,137,1589,1660,149,1855,1883,157
"Greece",905,755,168,1291,1109,176,NA,NA,NA,1107,946,160
"Hungary",494,265,183,566,338,173,664,396,160,934,538,171
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",1374,1620,126,1906,2304,NA,2291,2534,161,1908,2333,118
"Italy",1991,1870,170,NA,NA,NA,1320,1351,158,1435,1477,167
"Latvia",366,184,157,518,297,165,394,358,145,NA,NA,NA
"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,163,2032,2447,171
"Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,1352,1094,155
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",1183,1206,113,1020,1087,112,1298,1446,116,1459,1602,127
"Norway",1539,2248,126,1846,2448,137,2232,3296,155,2508,3674,151
"Poland",627,371,191,790,459,172,757,452,168,1030,575,181
"Portugal",NA,NA,NA,755,614,173,865,717,171,945,769,173
"Romania",252,104,188,347,173,174,505,250,169,539,287,184
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia",NA,NA,NA,496,338,171,633,423,161,713,483,174
"Slovenia",NA,NA,NA,1143,853,184,1128,949,153,1395,1139,177
"Spain",1216,1036,180,1524,1376,160,1407,1324,159,1603,1479,159
"Sweden",1485,1858,165,1678,2022,164,1984,2454,171,2333,2929,174
"Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,2866,4267,168
"Turkey",NA,NA,NA,661,381,197,991,612,199,809,484,200
"United Kingdom",1518,1743,160,1661,1874,161,1624,1716,169,1547,1880,166
