"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2846,2839,174,2877,3025,166,2757,3043,161,2891,3059,161
"Belgium",2500,2503,169,2590,2808,158,2824,3135,154,3178,3454,162
"Bulgaria",536,217,182,802,306,174,1135,504,165,1199,574,180
"Croatia",NA,NA,NA,NA,NA,NA,1775,1250,169,NA,NA,NA
"Cyprus",1919,1759,170,1319,1996,167,2954,2623,170,2376,2140,169
"Czech Rep.",1066,551,170,1454,884,169,1639,1186,170,1798,1146,170
"Denmark",2749,3540,148,2916,4000,148,3326,4542,152,3496,4864,152
"Estonia",1031,540,180,1282,819,172,1437,987,164,1798,1359,178
"Finland",2111,2504,162,2362,2755,160,2679,3201,159,2869,3509,160
"France",2021,2028,145,2211,2450,151,2290,2573,150,2523,2717,148
"Germany",2835,2933,160,2976,3059,156,3546,3704,158,3279,3327,155
"Greece",NA,NA,NA,2062,1770,170,2085,1919,166,2297,1963,167
"Hungary",1047,561,182,1248,745,179,1515,905,164,1650,949,167
"Iceland",2340,3065,159,2777,4163,169,2482,2651,163,2970,3506,164
"Ireland",2818,3322,153,2817,3405,165,3107,3436,159,2859,3496,141
"Italy",2576,2420,173,2580,2640,165,2813,2878,164,2869,2953,175
"Latvia",813,410,176,991,570,167,883,803,155,1341,940,164
"Lithuania",658,324,163,888,480,159,940,556,155,1086,681,170
"Luxembourg",3537,3620,171,3522,3954,167,3423,4141,163,3367,4055,174
"Macedonia",NA,NA,NA,NA,NA,NA,1477,572,168,1147,534,181
"Malta",2018,1457,175,870,1398,168,2155,1575,170,2134,1726,166
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1552,861,175
"Netherlands",2608,2660,149,2454,2616,144,2599,2895,141,2660,2921,144
"Norway",2782,4063,160,3290,4363,159,3500,5169,156,3756,5501,154
"Poland",1182,699,185,1261,733,169,1507,901,163,1868,1043,179
"Portugal",1941,1486,167,2149,1746,168,2084,1728,166,2257,1838,167
"Romania",610,251,183,711,355,173,1028,509,165,1032,548,177
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1440,727,183
"Slovakia",1049,456,172,945,644,169,1456,974,162,1612,1093,173
"Slovenia",1862,1279,164,1898,1417,176,2026,1704,166,2317,1892,178
"Spain",2325,1982,178,2219,2004,166,2261,2127,166,2462,2272,166
"Sweden",2198,2751,166,2638,3179,165,2817,3484,167,3171,3982,168
"Switzerland",NA,NA,NA,NA,NA,NA,3889,5578,163,3965,5903,161
"Turkey",NA,NA,NA,1413,812,197,1545,955,194,1628,974,196
"United Kingdom",3051,3504,155,3194,3604,158,2679,2831,156,2508,3047,159
