"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Services of the business economy","Total","Total","Total",1877,1873,158,1901,1999,154,1969,2173,150,2235,2365,150
"Belgium","Services of the business economy","Total","Total","Total",2202,2205,160,2285,2477,152,2448,2718,145,2719,2955,150
"Bulgaria","Services of the business economy","Total","Total","Total",362,147,180,530,202,169,795,353,159,944,452,177
"Croatia","Services of the business economy","Total","Total","Total",NA,NA,NA,NA,NA,NA,1459,1028,169,NA,NA,NA
"Cyprus","Services of the business economy","Total","Total","Total",1559,1429,169,1133,1715,170,2137,1898,170,1897,1709,169
"Czech Rep.","Services of the business economy","Total","Total","Total",985,509,170,1269,772,169,1344,973,169,1484,945,169
"Denmark","Services of the business economy","Total","Total","Total",1844,2374,117,2159,2961,123,2614,3570,126,2575,3582,118
"Estonia","Services of the business economy","Total","Total","Total",799,418,178,1032,659,169,1205,828,161,1393,1053,173
"Finland","Services of the business economy","Total","Total","Total",1793,2127,153,2068,2412,152,2349,2807,152,2477,3030,153
"France","Services of the business economy","Total","Total","Total",2023,2030,141,2143,2375,150,2211,2485,148,2539,2735,149
"Germany","Services of the business economy","Total","Total","Total",2155,2229,145,2199,2261,141,2230,2330,140,2314,2348,133
"Greece","Services of the business economy","Total","Total","Total",NA,NA,NA,1706,1465,168,1774,1633,162,1653,1412,158
"Hungary","Services of the business economy","Total","Total","Total",913,489,181,1072,640,177,1326,792,162,1425,820,166
"Iceland","Services of the business economy","Total","Total","Total",1558,2040,145,2015,3022,151,2085,2227,158,2339,2760,150
"Ireland","Services of the business economy","Total","Total","Total",1987,2342,140,2356,2848,153,2855,3157,153,2564,3135,137
"Italy","Services of the business economy","Total","Total","Total",1927,1810,166,2003,2050,160,2038,2086,156,2119,2181,163
"Latvia","Services of the business economy","Total","Total","Total",606,306,173,786,452,167,707,642,151,1078,756,157
"Lithuania","Services of the business economy","Total","Total","Total",660,325,170,809,437,165,906,536,156,1041,653,169
"Luxembourg","Services of the business economy","Total","Total","Total",2684,2747,165,2881,3234,161,3011,3642,158,3273,3942,171
"Macedonia","Services of the business economy","Total","Total","Total",NA,NA,NA,NA,NA,NA,1384,536,166,1061,494,180
"Malta","Services of the business economy","Total","Total","Total",1550,1119,165,751,1207,159,1851,1353,160,1908,1544,155
"Montenegro","Services of the business economy","Total","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1307,725,177
"Netherlands","Services of the business economy","Total","Total","Total",1920,1958,131,1734,1848,123,1968,2193,125,2073,2277,124
"Norway","Services of the business economy","Total","Total","Total",2212,3231,141,2585,3428,140,2675,3951,136,2953,4325,136
"Poland","Services of the business economy","Total","Total","Total",1036,612,185,1137,661,170,1393,832,163,1765,986,178
"Portugal","Services of the business economy","Total","Total","Total",1311,1004,164,1432,1163,168,1486,1232,161,1512,1232,161
"Romania","Services of the business economy","Total","Total","Total",511,210,185,703,351,176,988,490,166,1031,548,179
"Serbia","Services of the business economy","Total","Total","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1205,608,184
"Slovakia","Services of the business economy","Total","Total","Total",824,358,169,838,571,168,1200,803,161,1395,946,171
"Slovenia","Services of the business economy","Total","Total","Total",1501,1031,166,1637,1222,177,1757,1478,165,1902,1553,175
"Spain","Services of the business economy","Total","Total","Total",1698,1447,169,1673,1511,159,1779,1674,156,1882,1737,154
"Sweden","Services of the business economy","Total","Total","Total",1927,2411,156,2266,2731,158,2423,2997,157,2761,3467,157
"Switzerland","Services of the business economy","Total","Total","Total",NA,NA,NA,NA,NA,NA,2916,4182,150,3484,5186,148
"Turkey","Services of the business economy","Total","Total","Total",NA,NA,NA,1163,669,197,1288,796,197,1285,768,196
"United Kingdom","Services of the business economy","Total","Total","Total",2341,2688,147,2644,2984,150,2389,2524,146,2326,2826,148
