anno,fascia,ass_TI_fascia,ass_TD_fascia,ass_TI_maschi,ass_TD_maschi,ass_TI_femmine,ass_TD_femmine
0,Up to 24,668274,2509358,398061,1402514,270213,1106844
0,From 25 to 29,841710,2351067,498191,1258293,343519,1092774
0,From 30 to 39,1767867,3787376,1102147,2182959,665720,1604417
0,From 40 to 49,1522159,3102549,951988,1834857,570171,1267692
0,50 and over,1064588,2003594,710418,1321504,354170,682090
2013,Up to 24,149760,597553,86923,326660,62837,270893
2013,From 25 to 29,184425,552220,109591,293341,74834,258879
2013,From 30 to 39,401599,917361,250134,524410,151465,392951
2013,From 40 to 49,338241,704968,209671,409755,128570,295213
2013,50 and over,226715,418160,150586,273066,76129,145094
2014,Up to 24,136216,601276,80732,332894,55484,268382
2014,From 25 to 29,175157,578909,105922,307761,69235,271148
2014,From 30 to 39,386826,951464,244798,547377,142028,404087
2014,From 40 to 49,337053,764219,212761,451363,124292,312856
2014,50 and over,236146,470358,157496,309956,78650,160402
2015,Up to 24,245489,617281,147974,350715,97515,266566
2015,From 25 to 29,305110,586556,177225,317521,127885,269035
2015,From 30 to 39,608113,943361,372588,549919,235525,393442
2015,From 40 to 49,514405,791832,318813,475279,195592,316553
2015,50 and over,354487,521726,236575,346356,117912,175370
2016,Up to 24,136809,693248,82432,392245,54377,301003
2016,From 25 to 29,177018,633382,105453,339670,71565,293712
2016,From 30 to 39,371329,975190,234627,561253,136702,413937
2016,From 40 to 49,332460,841530,210743,498460,121717,343070
2016,50 and over,247240,593350,165761,392126,81479,201224
